ID;SOIL;;Cultivar ;GY;dbGY;SW;ANT;MAT;BSS;MAT(d);ANT(d);ID2;NG_HNAM;NT_TNAM;NP_PNAM
DARO1201;CR06002014;CRDA1201;Nerica 4;732;1;202;277;305;1877;103;75;DARO1201;3170;148;153
DARO1301;CR06002014;CRDA1301;Nerica 4;251;2;198;267;295;1803;97;69;DARO1301;1002;105;107
KOLD1201;CR04002012;CRKD1201;Nerica 4;2043;3;203;275;303;7830;100;72;KOLD1201;7210;200;182
KOLD1301;CR03002013;CRKD1301;Nerica 4;1206;4;192;261;289;2838;97;69;KOLD1301;2075;125;138
KOLD1401;CR04002014;CRKD1401;Nerica 4;1484;5;214;287;315;5128;101;73;KOLD1401;1021;176;114
KOLD1401;CR05002014;CRKD1402;Nerica 4;1313;6;212;282;310;3398;98;70;KOLD1402;5591;150;152
SEFA1201;CR05002012;CRSF1201;Nerica 4;1518;7;205;274;302;3850;97;69;SEFA1201;1016;132;132
SEFA1301;CR05002013;CRSF1301;Nerica 4;4123;8;196;268;296;7053;100;72;SEFA1301;15622;197;254
SEFA1301;CR06002013;CRSF1302;Nerica 4;2744;9;196;267;296;4586;100;71;SEFA1302;2744;155;125
SMAL1301;CR01002013;CRSM1301;Nerica 4;1561;10;203;272;300;4465;97;69;SMAL1301;6525;150;156
SMAL1301;CR07002013;CRSM1302;Nerica 4;2006;11;217;285;313;2249;96;68;SMAL1302;740;149;135
SMAL1301;CR02002013;CRSM1303;Nerica 4;185;12;217;270;298;4985;81;53;SMAL1303;7957;164;169
SMAL1401;CR01002014;CRSM1401;Nerica 4;135.2;13;205;273;300;6083;95;68;SMAL1401;4267;154;93
SMAL1401;CR02002014;CRSM1402;Nerica 4;789.9;14;220;289;316;6321;96;69;SMAL1402;623;102;109
SMAL1401;CR03002014;CRSM1403;Nerica 4;1329;15;206;273;300;6251;94;67;SMAL1403;9698;151;157
