,EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,DAP,L#SD,GSTD,LAID,LWAD,SWAD,GWAD,RWAD,EWAD,CWAD,G#AD,GWGD,HIAD,T#AD,WSPD,WSGD,EWSD,NSTD,KSTD,LN%D,SH%D,SLAD,CHTD,CWID,RDPD,RL1D,RL2D,RL3D,RL4D,RL5D,SNW0C,SNW1C,DTTC
1,CRDA1201,RICER048,1,1,2012-07-24,54,0,0,0,0,1,1,0,1,0,1,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,19
2,CRDA1201,RICER048,1,1,2012-07-25,55,1,0,0,0,1,1,0,1,0,1,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,38
3,CRDA1201,RICER048,1,1,2012-07-26,56,2,0,0,0,1,1,0,1,0,1,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,57
4,CRDA1201,RICER048,1,1,2012-07-27,57,3,0,0,0,1,1,0,1,0,1,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,76
5,CRDA1201,RICER048,1,1,2012-07-28,58,4,1,1,0,2,1,0,1,0,2,0,0,0,60,0,0,0,0,0,0,0,305.7,0,0,0.07,0.75,0.5,0,0,0,0,0,94
6,CRDA1201,RICER048,1,1,2012-07-29,59,5,1,1,0.01,2,1,0,1,0,3,0,0,0,60,0,0,0,0,0,0,0,259.7,0,0,0.07,0.75,0.5,0,0,0,0,0,112
7,CRDA1201,RICER048,1,1,2012-07-30,60,6,1,1,0.01,3,1,0,1,0,4,0,0,0,60,0,0,0,0,0,0,0,238.3,0,0,0.11,0.75,0.5,0,0,0,0,0,130
8,CRDA1201,RICER048,1,1,2012-07-31,61,7,1,1,0.01,4,1,0,1,0,5,0,0,0,60,0,0,0,0,0,0,0,225.6,0,0,0.14,0.74,0.5,0,0,0,0,0,148
9,CRDA1201,RICER048,1,1,2012-08-01,62,8,2,1,0.01,5,1,0,2,0,6,0,0,0,60,0,0,0,0,0,0,0,217.3,0,0,0.17,0.74,0.5,0,0,0,0,0,166
10,CRDA1201,RICER048,1,1,2012-08-02,63,9,2,1,0.01,6,1,0,3,0,7,0,0,0,60,0,0,0,0,0,0,0,211.3,0,0,0.21,0.74,0.5,0,0,0,0,0,184
11,CRDA1201,RICER048,1,1,2012-08-03,64,10,2,1,0.02,8,1,0,4,0,8,0,0,0,60,0,0,0,0,0,0,0,206.8,0,0,0.24,0.74,0.5,0,0,0,0,0,202
12,CRDA1201,RICER048,1,1,2012-08-04,65,11,3,1,0.02,9,1,0,5,0,10,0,0,0,60,0,0,0,0,0,0,0,203.1,0,0,0.27,0.74,0.5,0.01,0,0,0,0,220
13,CRDA1201,RICER048,1,1,2012-08-05,66,12,3,1,0.02,10,1,0,6,0,11,0,0,0,60,0,0,0,0,0,0,0,200.3,0,0,0.31,0.74,0.5,0.01,0,0,0,0,238
14,CRDA1201,RICER048,1,1,2012-08-06,67,13,3,1,0.02,12,1,0,8,0,12,0,0,0,60,0,0,0,0,0,0,0,198,0,0,0.34,0.74,0.5,0.01,0,0,0,0,256
15,CRDA1201,RICER048,1,1,2012-08-07,68,14,4,1,0.03,13,1,0,8,0,14,0,0,0,60,0,0,0,0,0,0,0,218.5,0,0,0.37,0.74,0.51,0.02,0,0,0,0,274
