GYdb,BSSdb,ANTdb,MATdb,GTGY,GTBSS,GTANT,GTMAT,GTNG,GTNT
523,4147,291,350,732,1877,277,305,3170,148
725,4541,287,344,251,1803,267,295,1002,105
2345,7963,291,348,2043,7830,275,303,7210,200
4162,9421,280,336,1206,2838,261,289,2075,125
797,6497,302,361,1484,5128,287,315,1021,176
882,6393,300,358,1313,3398,282,310,5591,150
1343,7150,294,351,1518,3850,274,302,1016,132
2552,7797,284,340,4123,7053,268,296,15622,197
2497,7974,287,342,2744,4586,267,296,2744,155
817,6358,291,348,1561,4465,272,300,6525,150
473,4513,304,361,2006,2249,285,313,740,149
490,4735,307,361,185,4985,270,298,7957,164
910,6060,293,349,135.2,6083,273,300,4267,154
468,4139,308,361,789.9,6321,289,316,623,102
904,6008,294,351,1329,6251,273,300,9698,151
