,EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,PRED,DAYLD,TWLD,SRAD,PARD,CLDD,TMXD,TMND,TAVD,TDYD,TDWD,TGAD,TGRD,WDSD,CO2D,VPDF,VPD,OZON7,WDATE
1,CRDA1201,RICER048,1,1,2012-06-01,1,10.8,12,12.9,24.6,49.2,0.08,42.7,25.8,33.9,36.6,7.5,33.9,36.6,295,393.6,0,0,NA,2012-06-01
2,CRDA1201,RICER048,1,1,2012-06-02,2,0,12,12.9,24,48,0.1,43.5,26.6,34.7,37.4,7.9,34.7,37.4,307,393.6,0,0,NA,2012-06-02
3,CRDA1201,RICER048,1,1,2012-06-03,3,0,12,12.9,20.8,41.6,0.22,43.7,27.7,35.4,38,6.7,35.4,38,223,393.6,0,0,NA,2012-06-03
4,CRDA1201,RICER048,1,1,2012-06-04,4,0.8,12,12.9,16.8,33.6,0.37,43.3,28.4,35.5,37.9,10.2,35.5,37.9,332,393.6,0,0,NA,2012-06-04
5,CRDA1201,RICER048,1,1,2012-06-05,5,9.3,12,12.9,18.6,37.2,0.3,42.2,27.6,34.6,37,10.3,34.6,37,360,393.6,0,0,NA,2012-06-05
6,CRDA1201,RICER048,1,1,2012-06-06,6,0,12,12.9,21.6,43.2,0.19,41.9,27.6,34.4,36.8,12.1,34.4,36.8,363,393.6,0,0,NA,2012-06-06
7,CRDA1201,RICER048,1,1,2012-06-07,7,0,12,12.9,24.7,49.4,0.07,39.7,28.8,34,35.8,16.3,34,35.8,238,393.6,0,0,NA,2012-06-07
8,CRDA1201,RICER048,1,1,2012-06-08,8,0,12,12.9,16.2,32.4,0.39,38.3,28.3,33.1,34.7,18.1,33.1,34.7,335,393.6,0,0,NA,2012-06-08
9,CRDA1201,RICER048,1,1,2012-06-09,9,0,12,12.9,23.6,47.2,0.12,38.8,28.4,33.4,35.1,16.7,33.4,35.1,270,393.6,0,0,NA,2012-06-09
10,CRDA1201,RICER048,1,1,2012-06-10,10,4.4,12,12.9,10.6,21.2,0.6,34.4,28.4,31.3,32.2,17.9,31.3,32.2,178,393.6,0,0,NA,2012-06-10
11,CRDA1201,RICER048,1,1,2012-06-11,11,0,12,12.9,25.1,50.2,0.06,34.1,27.3,30.6,31.7,19,30.6,31.7,202,393.6,0,0,NA,2012-06-11
12,CRDA1201,RICER048,1,1,2012-06-12,12,0,12,12.9,15.9,31.8,0.4,39.9,27.1,33.2,35.3,14.9,33.2,35.3,325,393.6,0,0,NA,2012-06-12
13,CRDA1201,RICER048,1,1,2012-06-13,13,0,12,12.9,19.8,39.6,0.26,40.2,26.4,33,35.2,13.2,33,35.2,358,393.6,0,0,NA,2012-06-13
14,CRDA1201,RICER048,1,1,2012-06-14,14,0,12,12.9,12.8,25.6,0.52,36.8,27.3,31.8,33.4,16.9,31.8,33.4,355,393.6,0,0,NA,2012-06-14
15,CRDA1201,RICER048,1,1,2012-06-15,15,0,12,12.9,23.5,47,0.12,36.2,27.7,31.8,33.1,18.1,31.8,33.1,380,393.8,0,0,NA,2012-06-15
16,CRDA1201,RICER048,1,1,2012-06-16,16,0,12,12.9,25.4,50.8,0.04,39.5,26.1,32.5,34.7,16,32.5,34.7,328,393.8,0,0,NA,2012-06-16
17,CRDA1201,RICER048,1,1,2012-06-17,17,8.6,12,12.9,24.6,49.2,0.07,41.3,26.4,33.5,35.9,12.3,33.5,35.9,382,393.8,0,0,NA,2012-06-17
18,CRDA1201,RICER048,1,1,2012-06-18,18,3.2,12,12.9,25,50,0.06,42.4,25.5,33.6,36.3,9.8,33.6,36.3,355,393.8,0,0,NA,2012-06-18
19,CRDA1201,RICER048,1,1,2012-06-19,19,0,12,12.9,19.1,38.2,0.28,38.9,24.7,31.5,33.8,11.8,31.5,33.8,383,393.8,0,0,NA,2012-06-19
20,CRDA1201,RICER048,1,1,2012-06-20,20,0,12,12.9,17.4,34.8,0.35,39.1,26.1,32.3,34.4,16.1,32.3,34.4,373,393.8,0,0,NA,2012-06-20
21,CRDA1201,RICER048,1,1,2012-06-21,21,10,12,12.9,24.2,48.4,0.09,35.6,25.6,30.4,32,18.4,30.4,32,235,393.8,0,0,NA,2012-06-21
22,CRDA1201,RICER048,1,1,2012-06-22,22,0,12,12.9,24.8,49.6,0.07,39.4,25.1,31.9,34.3,12.9,31.9,34.3,348,393.8,0,0,NA,2012-06-22
23,CRDA1201,RICER048,1,1,2012-06-23,23,0,12,12.9,19,38,0.29,39.6,24.3,31.6,34.1,13.8,31.6,34.1,315,393.8,0,0,NA,2012-06-23
24,CRDA1201,RICER048,1,1,2012-06-24,24,0,12,12.9,24.1,48.2,0.09,37.5,27.1,32.1,33.8,19.2,32.1,33.8,293,393.8,0,0,NA,2012-06-24
25,CRDA1201,RICER048,1,1,2012-06-25,25,0,12,12.9,14.4,28.8,0.46,29.3,25.7,27.4,28,23,27.4,28,188,393.8,0,0,NA,2012-06-25
26,CRDA1201,RICER048,1,1,2012-06-26,26,0,12,12.9,21.9,43.8,0.18,35.4,24.9,29.9,31.6,18.7,29.9,31.6,150,393.8,0,0,NA,2012-06-26
27,CRDA1201,RICER048,1,1,2012-06-27,27,0,12,12.9,25.6,51.2,0.04,32,25.6,28.7,29.7,21.4,28.7,29.7,227,393.8,0,0,NA,2012-06-27
28,CRDA1201,RICER048,1,1,2012-06-28,28,7.4,12,12.9,23.2,46.4,0.13,35.4,24.1,29.5,31.3,17.8,29.5,31.3,377,393.8,0,0,NA,2012-06-28
29,CRDA1201,RICER048,1,1,2012-06-29,29,7,12,12.9,22,44,0.17,34.8,24.6,29.5,31.1,17.9,29.5,31.1,319,393.8,0,0,NA,2012-06-29
30,CRDA1201,RICER048,1,1,2012-06-30,30,9.6,12,12.9,11.7,23.4,0.56,32.6,24.4,28.3,29.7,18.5,28.3,29.7,226,393.8,0,0,NA,2012-06-30
31,CRDA1201,RICER048,1,1,2012-07-01,31,8.8,12,12.9,22.7,45.4,0.15,33.4,25.2,29.1,30.5,19.6,29.1,30.5,184,393.8,0,0,NA,2012-07-01
32,CRDA1201,RICER048,1,1,2012-07-02,32,6.8,12,12.9,22.4,44.8,0.16,33.4,24.8,28.9,30.3,19.6,28.9,30.3,342,393.8,0,0,NA,2012-07-02
33,CRDA1201,RICER048,1,1,2012-07-03,33,7.9,12,12.9,23.3,46.6,0.13,35.1,23.4,29,30.9,16.4,29,30.9,377,393.8,0,0,NA,2012-07-03
34,CRDA1201,RICER048,1,1,2012-07-04,34,0,12,12.9,17.7,35.4,0.34,34.7,24.1,29.2,30.9,18,29.2,30.9,243,393.8,0,0,NA,2012-07-04
35,CRDA1201,RICER048,1,1,2012-07-05,35,0,12,12.9,23,46,0.14,31.7,25.3,28.4,29.4,20.4,28.4,29.4,141,393.8,0,0,NA,2012-07-05
36,CRDA1201,RICER048,1,1,2012-07-06,36,0,12,12.9,24.6,49.2,0.08,35.3,25.5,30.2,31.8,18.7,30.2,31.8,219,393.8,0,0,NA,2012-07-06
37,CRDA1201,RICER048,1,1,2012-07-07,37,0,12,12.9,24.7,49.4,0.08,38.9,25.2,31.8,34,17.3,31.8,34,384,393.8,0,0,NA,2012-07-07
38,CRDA1201,RICER048,1,1,2012-07-08,38,0,12,12.9,20.1,40.2,0.25,33.3,25.2,29.1,30.4,19.9,29.1,30.4,394,393.8,0,0,NA,2012-07-08
39,CRDA1201,RICER048,1,1,2012-07-09,39,0,12,12.9,20.7,41.4,0.23,31.6,25.5,28.4,29.4,21.9,28.4,29.4,318,393.8,0,0,NA,2012-07-09
40,CRDA1201,RICER048,1,1,2012-07-10,40,0,12,12.9,19.4,38.8,0.28,31.9,24.4,28,29.2,20.4,28,29.2,180,393.8,0,0,NA,2012-07-10
41,CRDA1201,RICER048,1,1,2012-07-11,41,0,12,12.9,19.9,39.8,0.26,33,25.2,28.9,30.2,20.6,28.9,30.2,125,393.8,0,0,NA,2012-07-11
42,CRDA1201,RICER048,1,1,2012-07-12,42,0,12,12.9,21,42,0.22,33.7,24.8,29.1,30.5,19.6,29.1,30.5,185,393.8,0,0,NA,2012-07-12
43,CRDA1201,RICER048,1,1,2012-07-13,43,0,12,12.9,24.1,48.2,0.1,35.1,25.1,29.9,31.5,19.7,29.9,31.5,355,393.8,0,0,NA,2012-07-13
44,CRDA1201,RICER048,1,1,2012-07-14,44,6.9,12,12.9,23.8,47.6,0.12,32.9,24.7,28.6,30,19.8,28.6,30,310,393.8,0,0,NA,2012-07-14
45,CRDA1201,RICER048,1,1,2012-07-15,45,15.5,12,12.9,21,42,0.22,33.2,25.2,29,30.3,19.8,29,30.3,203,394.1,0,0,NA,2012-07-15
46,CRDA1201,RICER048,1,1,2012-07-16,46,1.3,12,12.9,24,48,0.11,33,25.4,29,30.3,20.2,29,30.3,154,394.1,0,0,NA,2012-07-16
