,EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,SRAA,TMAXA,TMINA,REFA,EOAA,EOPA,EOSA,ETAA,EPAA,ESAA,EFAA,EMAA,EOAC,ETAC,EPAC,ESAC,EFAC,EMAC,KCAA,KBSA,KEAA,ES1D,ES2D,ES3D,ES4D,ES5D,ES6D,ES7D,TRWUD,TWUPD
1,CRDA1201,RICER048,1,1,2012-06-01,1,23.7,40,23.8,NA,9.136,0,9.136,1.117,0,1.117,0,0,9.14,1.12,0,1.12,0,0,NA,NA,NA,0.927,0.117,0.04,0.015,0.008,0.006,0.004,0,0
2,CRDA1201,RICER048,1,1,2012-06-02,2,24.7,38.3,23.8,NA,8.735,0,8.735,1.032,0,1.032,0,0,17.87,2.15,0,2.15,0,0,NA,NA,NA,0.843,0.117,0.04,0.015,0.008,0.006,0.004,0,0
3,CRDA1201,RICER048,1,1,2012-06-03,3,22.3,39.6,24.7,NA,8.409,0,8.409,0.982,0,0.982,0,0,26.28,3.13,0,3.13,0,0,NA,NA,NA,0.794,0.116,0.04,0.015,0.008,0.006,0.004,0,0
4,CRDA1201,RICER048,1,1,2012-06-04,4,22.9,38.5,25.7,NA,8.235,0,8.235,5.905,0,5.905,0,0,34.52,9.04,0,9.04,0,0,NA,NA,NA,1.396,1.073,1.014,0.708,0.56,0.627,0.526,0,0
5,CRDA1201,RICER048,1,1,2012-06-05,5,24,39.6,24.8,NA,9.159,0,9.159,5.862,0,5.862,0,0,43.67,14.9,0,14.9,0,0,NA,NA,NA,1.428,1.053,0.992,0.696,0.554,0.619,0.52,0,0
6,CRDA1201,RICER048,1,1,2012-06-06,6,23.6,39.8,24.7,NA,9.007,0,9.007,0.995,0,0.995,0,0,52.68,15.89,0,15.89,0,0,NA,NA,NA,0.814,0.111,0.039,0.014,0.007,0.006,0.004,0,0
7,CRDA1201,RICER048,1,1,2012-06-07,7,24.2,39.5,23.7,NA,9.011,0,9.011,0.92,0,0.92,0,0,61.69,16.81,0,16.81,0,0,NA,NA,NA,0.741,0.11,0.039,0.014,0.007,0.006,0.004,0,0
8,CRDA1201,RICER048,1,1,2012-06-08,8,24,39.4,23.5,NA,8.849,0,8.849,0.853,0,0.853,0,0,70.54,17.67,0,17.67,0,0,NA,NA,NA,0.674,0.11,0.038,0.014,0.007,0.006,0.004,0,0
9,CRDA1201,RICER048,1,1,2012-06-09,9,23.8,40.1,25.1,NA,9.129,0,9.129,0.791,0,0.791,0,0,79.67,18.46,0,18.46,0,0,NA,NA,NA,0.613,0.109,0.038,0.014,0.007,0.006,0.004,0,0
10,CRDA1201,RICER048,1,1,2012-06-10,10,24.2,41.1,26.4,NA,9.765,0,9.765,0.875,0,0.875,0,0,89.44,19.33,0,19.33,0,0,NA,NA,NA,0.698,0.109,0.038,0.014,0.007,0.006,0.004,0,0
11,CRDA1201,RICER048,1,1,2012-06-11,11,20.8,39.4,25.7,NA,7.822,0,7.822,1.029,0,1.029,0,0,97.26,20.36,0,20.36,0,0,NA,NA,NA,0.851,0.108,0.038,0.014,0.007,0.006,0.004,0,0
