*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  APR 22, 2025 15:19:20

*RUN   1        : F1 NE 4                   RICER048 CRDA1201    1
 MODEL          : RICER048 - Rice
 EXPERIMENT     : CRDA1201 WH ESSAI VARIETE DAROU PAKA 2012
 DATA PATH      :
 TREATMENT  1   : F1 NE 4                   RICER048
  
!YR        Days  Days              Leaf  <--------- Dry Weight -----------> Grain Kernl              <------ Stress (0-1) ------>   Leaf  Shell  Spec  <-Canopy->  Root  <-- Root Length Density ---><Senesced Mat>   Phot  
!  and    after after  Leaf  Grow  Area  <------------ kg/Ha ------------->   per  wght  Harv Tillr  <--- Water ---->                Nit   -ing  Leaf  Hght Brdth Depth  <---- cm3/cm3 of soil -----> <--(kg/ha)-->  Therm  
!     DOY start plant   Num Stage Index  Leaf  Stem Grain  Root Panic  Crop    m2    mg  Indx   No.  Phot  Grow  Excs  Nitr Potas     %      %   Area    m     m     m    0-5  5-15 15-30 30-4545-100   Surf   Soil   Days  
@YEAR DOY   DAS   DAP  L#SD  GSTD  LAID  LWAD  SWAD  GWAD  RWAD  EWAD  CWAD  G#AD  GWGD  HIAD  T#AD  WSPD  WSGD  EWSD  NSTD  KSTD   LN%D   SH%D  SLAD  CHTD  CWID  RDPD  RL1D  RL2D  RL3D  RL4D  RL5D  SNW0C  SNW1C   DTTC  
 2012 195    43     0   0.0     0  0.00     1     1     0     1     0     1     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00   0.0  0.00  0.00  0.02  0.00  0.00  0.00  0.00  0.00      0      0     18
 2012 196    44     1   0.0     0  0.00     1     1     0     1     0     1     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00   0.0  0.00  0.00  0.02  0.00  0.00  0.00  0.00  0.00      0      0     36
 2012 197    45     2   0.0     0  0.00     1     1     0     1     0     1     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00   0.0  0.00  0.00  0.02  0.00  0.00  0.00  0.00  0.00      0      0     53
 2012 198    46     3   0.0     0  0.00     1     1     0     1     0     1     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00   0.0  0.00  0.00  0.05  0.00  0.00  0.00  0.00  0.00      0      0     71
 2012 199    47     4   0.0     0  0.00     1     1     0     1     0     1     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00   0.0  0.00  0.00  0.07  0.00  0.00  0.00  0.00  0.00      0      0     89
 2012 200    48     5   1.0     1  0.01     2     1     0     1     0     3     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 270.7  0.00  0.00  0.10  1.01  0.50  0.00  0.00  0.00      0      0    107
 2012 201    49     6   1.0     1  0.01     4     1     0     1     0     4     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 233.3  0.00  0.00  0.10  1.01  0.50  0.00  0.00  0.00      0      0    125
 2012 202    50     7   2.0     1  0.01     5     1     0     1     0     6     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 217.1  0.00  0.00  0.13  1.01  0.50  0.00  0.00  0.00      0      0    143
 2012 203    51     8   2.0     1  0.02     7     1     0     2     0     8     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 208.2  0.00  0.00  0.17  1.01  0.50  0.00  0.00  0.00      0      0    160
 2012 204    52     9   3.0     1  0.02     9     1     0     3     0    10     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 202.2  0.00  0.00  0.20  1.00  0.50  0.00  0.00  0.00      0      0    178
 2012 205    53    10   3.0     1  0.02    12     1     0     4     0    12     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 198.0  0.00  0.00  0.23  1.00  0.50  0.00  0.00  0.00      0      0    196
 2012 206    54    11   4.0     1  0.03    14     1     0     5     0    15     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 195.0  0.00  0.00  0.26  1.00  0.50  0.01  0.00  0.00      0      0    214
 2012 207    55    12   4.0     1  0.03    17     1     0     6     0    18     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 192.8  0.00  0.00  0.29  1.00  0.50  0.01  0.00  0.00      0      0    232
 2012 208    56    13   5.0     1  0.04    21     1     0     8     0    21     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 191.0  0.00  0.00  0.33  1.00  0.51  0.02  0.00  0.00      0      0    250
 2012 209    57    14   5.0     1  0.04    24     1     0    11     0    24     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 189.9  0.00  0.00  0.36  1.00  0.51  0.02  0.00  0.00      0      0    268
 2012 210    58    15   5.0     1  0.05    27     1     0    13     0    27     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 188.9  0.00  0.00  0.39  1.00  0.52  0.03  0.01  0.00      0      0    286
 2012 211    59    16   6.0     1  0.06    30     1     0    17     0    31     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 188.1  0.00  0.00  0.42  1.00  0.52  0.03  0.01  0.00      0      0    304
 2012 212    60    17   6.0     1  0.07    34     1     0    19     0    35     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 196.2  0.00  0.00  0.46  1.01  0.53  0.04  0.02  0.00      0      0    322
 2012 213    61    18   6.0     1  0.07    38     1     0    21     0    39     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 194.7  0.00  0.00  0.49  1.01  0.53  0.05  0.03  0.00      0      0    340
 2012 214    62    19   6.0     1  0.08    43     1     0    23     0    43     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 193.3  0.00  0.00  0.52  1.01  0.53  0.05  0.03  0.00      0      0    358
 2012 215    63    20   7.0     1  0.09    47     1     0    26     0    48     0   0.0 0.000   116 0.000 0.000 0.000 0.000 0.000   0.00   0.00 192.2  0.00  0.00  0.55  1.01  0.53  0.06  0.04  0.01      0      0    375
 2012 216    64    21   7.0     1  0.10    53     1     0    29     0    54     0   0.0 0.000   117 0.000 0.000 0.000 0.000 0.000   0.00   0.00 191.0  0.00  0.00  0.58  1.01  0.53  0.06  0.04  0.01      0      0    393
 2012 217    65    22   7.0     1  0.11    59     1     0    33     0    60     0   0.0 0.000   119 0.000 0.000 0.000 0.000 0.000   0.00   0.00 190.1  0.00  0.00  0.62  1.01  0.54  0.07  0.05  0.02      0      0    411
