*SOM C DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  APR 22, 2025 15:19:20

*RUN   1        : F1 NE 4                   RICER048 CRDA1201    1
 MODEL          : RICER048 - Rice
 EXPERIMENT     : CRDA1201 WH ESSAI VARIETE DAROU PAKA 2012
 DATA PATH      :
 TREATMENT  1   : F1 NE 4                   RICER048
  
!                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    Cumul.
!               <---- SOM C in top layers ----> <- SOM + LIT C in top layers -> <------------ Total Soil Organic Carbon (SOM + LIT) ------------> <--------- Active Soil Organic Carbon (SOM1) ---------> <---- Intermediate Soil Organic C (SOM2) -----> <------- Passive Soil Organic C (SOM3) -------> <------------------ Litter Carbon --------------------> <-------------- Metabolic Litter Carbon --------------> <------------- Structural Litter Carbon -------------->  Resid.  <-Accum. CO2->
!               20cm-kg  20cm-% 40cm-kg  40cm-% 20cm-kg  20cm-% 40cm-kg  40cm-%     Total Surface    Soil     0-5    5-15   15-30   30-45  45-100 Surface    Soil     0-5    5-15   15-30   30-45  45-100    Soil     0-5    5-15   15-30   30-45  45-100    Soil     0-5    5-15   15-30   30-45  45-100 Surface    Soil     0-5    5-15   15-30   30-45  45-100 Surface    Soil     0-5    5-15   15-30   30-45  45-100 Surface    Soil     0-5    5-15   15-30   30-45  45-100 (kg/ha) Surface    Soil
@YEAR DOY   DAS  SCS20D  SC%20D  SCS40D  SC%40D  SLC20D  SL%20D  SLC40D  SL%40D      SOCD    SC0D    SCTD    SC1D    SC2D    SC3D    SC4D   SC5+D   S1C0D   S1CTD   S1C1D   S1C2D   S1C3D   S1C4D  S1C5+D   S2CTD   S2C1D   S2C2D   S2C3D   S2C4D  S2C5+D   S3CTD   S3C1D   S3C2D   S3C3D   S3C4D  S3C5+D    LC0D    LCTD    LC1D    LC2D    LC3D    LC4D   LC5+D   MEC0D   MECTD   MEC1D   MEC2D   MEC3D   MEC4D  MEC5+D   STC0D   STCTD   STC1D   STC2D   STC3D   STC4D  STC5+D    RESC   CO20C   CO2SC
 2012 152     0   46466   1.523   48298   1.599   46505   1.525   48320   1.600    263945       0  263945   11475   22950   36240   36240  157040       0    7680     314     628     979     979    4781  145921    5962   11929   18593   18600   90837  110260    5187   10373   16648   16648   61404       0      84      12      20      20      13      18       0      69      10      16      17      11      15       0      15       2       4       4       2       3       0       0       0
 2012 153     1   46441   1.523   48274   1.598   46478   1.524   48295   1.599    263804       0  263804   11468   22937   36221   36222  156957       0    7591     310     620     967     967    4727  145874    5960   11925   18587   18594   90808  110260    5187   10373   16648   16648   61405       0      79      12      19      19      12      17       0      64       9      15      15      10      14       0      15       2       4       4       2       3       0       0     141
 2012 154     2   46418   1.522   48251   1.598   46453   1.523   48270   1.598    263666       0  263666   11462   22923   36202   36203  156875       0    7505     306     612     956     956    4675  145826    5958   11920   18581   18588   90779  110260    5187   10373   16648   16648   61405       0      74      11      18      18      11      16       0      59       9      14      14       9      13       0      15       2       4       4       2       3       0       0     279
 2012 155     3   46396   1.521   48227   1.597   46429   1.522   48246   1.598    263531       0  263531   11457   22911   36183   36185  156794       0    7422     304     605     945     945    4623  145778    5956   11916   18574   18582   90750  110261    5187   10373   16648   16648   61405       0      70      11      17      17      11      15       0      55       8      13      13       9      12       0      15       2       4       4       2       3       0       0     414
 2012 156     4   46374   1.520   48204   1.596   46406   1.521   48222   1.597    263397       0  263397   11452   22898   36165   36168  156714       0    7340     301     598     934     935    4573  145730    5955   11912   18568   18575   90721  110261    5187   10373   16648   16648   61406       0      67      10      16      16      10      15       0      52       8      12      12       8      11       0      15       2       4       4       2       3       0       0     548
 2012 157     5   46352   1.520   48182   1.595   46381   1.521   48199   1.596    263266       0  263266   11446   22886   36147   36151  156636       0    7260     297     590     923     924    4525  145682    5952   11907   18561   18569   90692  110261    5187   10373   16648   16648   61406       0      63      10      15      15      10      14       0      48       7      11      11       7      11       0      15       2       4       4       2       3       0       0     679
 2012 158     6   46331   1.519   48161   1.595   46359   1.520   48177   1.595    263142       0  263142   11440   22875   36131   36134  156561       0    7185     294     584     914     915    4478  145636    5951   11903   18555   18563   90664  110262    5187   10373   16648   16648   61406       0      60       9      14      14       9      13       0      45       7      10      11       7      10       0      15       2       4       4       2       3       0       0     803
 2012 159     7   46311   1.518   48140   1.594   46338   1.519   48155   1.595    263019       0  263019   11436   22864   36115   36118  156487       0    7112     291     578     905     905    4433  145589    5949   11899   18549   18557   90635  110262    5187   10373   16648   16648   61406       0      57       9      13      14       9      13       0      42       6      10      10       6       9       0      15       2       4       4       2       3       0       0     926
 2012 160     8   46292   1.518   48120   1.593   46317   1.519   48134   1.594    262897       0  262897   11432   22853   36099   36102  156412       0    7039     289     572     895     896    4388  145541    5947   11895   18543   18550   90606  110262    5187   10373   16648   16648   61407       0      55       8      13      13       8      12       0      40       6       9       9       6       9       0      15       2       4       4       2       3       0       0    1048
 2012 161     9   46274   1.517   48099   1.593   46298   1.518   48113   1.593    262778       0  262778   11428   22842   36083   36086  156338       0    6969     287     566     886     886    4344  145494    5946   11891   18536   18544   90576  110262    5187   10373   16648   16648   61407       0      52       8      12      12       8      11       0      37       6       9       9       6       8       0      15       2       4       4       2       3       0       0    1167
