*Soil Organic Matter daily output file

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  APR 22, 2025 15:19:20

*RUN   1        : F1 NE 4                   RICER048 CRDA1201    1
 MODEL          : RICER048 - Rice
 EXPERIMENT     : CRDA1201 WH ESSAI VARIETE DAROU PAKA 2012
 DATA PATH      :
 TREATMENT  1   : F1 NE 4                   RICER048
  
@YEAR DOY   DAS    OMAC    SCDD    SOCD    SC0D    SCTD   SOMCT    LCTD    ONAC    SNDD    SOND    SN0D    SNTD   SOMNT    LNTD
 2012 152     0       0   20063  263945       0  263945  263861    84.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 153     1       0   20052  263804       0  263804  263725    79.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 154     2       0   20042  263666       0  263666  263591    74.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 155     3       0   20032  263531       0  263531  263461    70.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 156     4       0   20023  263397       0  263397  263331    66.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 157     5       0   20012  263266       0  263266  263203    63.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 158     6       0   20003  263142       0  263142  263082    60.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 159     7       0   19995  263019       0  263019  262962    57.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 160     8       0   19986  262897       0  262897  262843    54.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 161     9       0   19978  262778       0  262778  262726    52.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 162    10       0   19970  262660       0  262660  262610    49.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 163    11       0   19961  262538       0  262538  262491    47.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 164    12       0   19953  262417       0  262417  262372    45.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 165    13       0   19943  262295       0  262295  262251    43.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 166    14       0   19934  262176       0  262176  262135    41.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 167    15       0   19924  262064       0  262064  262024    39.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 168    16       0   19915  261957       0  261957  261919    38.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 169    17       0   19906  261855       0  261855  261818    36.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 170    18       0   19897  261756       0  261756  261721    35.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 171    19       0   19888  261661       0  261661  261626    34.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 172    20       0   19880  261568       0  261568  261535    33.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 173    21       0   19872  261480       0  261480  261448    32.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 174    22       0   19864  261396       0  261396  261364    31.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 175    23       0   19856  261315       0  261315  261284    30.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 176    24       0   19848  261233       0  261233  261203    29.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 177    25       0   19840  261152       0  261152  261123    28.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 178    26       0   19833  261071       0  261071  261043    28.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 179    27       0   19826  260989       0  260989  260961    27.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 180    28       0   19819  260908       0  260908  260882    26.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 181    29       0   19811  260828       0  260828  260802    26.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 182    30       0   19804  260748       0  260748  260723    25.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 183    31       0   19797  260667       0  260667  260643    24.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 184    32       0   19684  260584       0  260584  260560    24.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 185    33       0   19721  260503       0  260503  260479    23.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 186    34       0   19724  260420       0  260420  260397    23.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 187    35       0   19732  260332       0  260332  260309    22.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 188    36       0   19730  260242       0  260242  260219    22.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 189    37       0   19729  260149       0  260149  260127    22.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 190    38       0   19730  260058       0  260058  260036    21.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 191    39       0   19742  259968       0  259968  259946    21.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 192    40       0   19736  259879       0  259879  259858    20.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 193    41       0   19729  259791       0  259791  259771    20.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 194    42       0   19722  259703       0  259703  259683    20.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 195    43       0   19716  259616       0  259616  259596    19.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 196    44       0   19709  259528       0  259528  259508    19.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 197    45       0   19703  259443       0  259443  259424    19.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 198    46       0   19696  259359       0  259359  259340    19.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 199    47       0   19690  259275       0  259275  259256    18.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 200    48       0   19683  259191       0  259191  259172    18.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 201    49       0   19677  259105       0  259105  259087    18.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 202    50       0   19670  259018       0  259018  259000    18.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 203    51       0   19663  258931       0  258931  258913    18.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 204    52       0   19656  258844       0  258844  258827    17.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 205    53       0   19650  258758       0  258758  258740    17.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 206    54       0   19644  258676       0  258676  258658    17.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 207    55       0   19638  258594       0  258594  258577    17.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 208    56       0   19631  258512       0  258512  258495    17.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 209    57       0   19625  258431       0  258431  258414    17.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 210    58       0   19619  258350       0  258350  258333    16.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 211    59       0   19613  258269       0  258269  258253    16.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 212    60       0   19607  258189       0  258189  258172    16.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 213    61       0   19600  258106       0  258106  258090    16.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 214    62       0   19594  258023       0  258023  258006    16.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 215    63       0   19588  257942       0  257942  257926    16.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 216    64       0   19582  257862       0  257862  257846    16.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 217    65       0   19576  257781       0  257781  257765    16.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 218    66       0   19570  257704       0  257704  257688    16.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 219    67       0   19565  257629       0  257629  257613    15.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 220    68       0   19560  257553       0  257553  257538    15.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 221    69       0   19554  257476       0  257476  257460    15.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 222    70       0   19548  257398       0  257398  257382    15.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 223    71       0   19542  257320       0  257320  257304    15.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 224    72       0   19537  257242       0  257242  257227    15.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 225    73       0   19531  257168       0  257168  257153    15.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 226    74       0   19526  257095       0  257095  257079    15.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 227    75       0   19521  257024       0  257024  257008    15.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 228    76       0   19516  256954       0  256954  256939    15.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 229    77       0   19511  256884       0  256884  256869    15.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 230    78       0   19506  256813       0  256813  256798    15.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 231    79       0   19501  256741       0  256741  256726    15.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 232    80       0   19496  256670       0  256670  256655    15.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 233    81       0   19490  256596       0  256596  256581    15.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 234    82       0   19485  256522       0  256522  256507    14.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 235    83       0   19480  256448       0  256448  256433    14.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 236    84       0   19475  256375       0  256375  256360    14.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 237    85       0   19469  256301       0  256301  256286    14.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 238    86       0   19464  256227       0  256227  256212    14.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 239    87       0   19459  256155       0  256155  256141    14.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 240    88       0   19454  256086       0  256086  256072    14.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 241    89       0   19449  256016       0  256016  256002    14.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 242    90       0   19443  255946       0  255946  255931    14.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 243    91       0   19438  255875       0  255875  255860    14.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 244    92       0   19433  255802       0  255802  255788    14.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 245    93       0   19428  255730       0  255730  255716    14.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 246    94       0   19423  255660       0  255660  255645    14.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 247    95       0   19418  255591       0  255591  255577    14.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 248    96       0   19414  255526       0  255526  255511    14.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 249    97       0   19409  255461       0  255461  255446    14.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 250    98       0   19405  255399       0  255399  255384    14.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 251    99       0   19400  255339       0  255339  255325    14.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 252   100       0   19395  255279       0  255279  255264    14.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 253   101       0   19390  255214       0  255214  255200    14.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 254   102       0   19385  255147       0  255147  255132    14.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 255   103       0   19380  255078       0  255078  255063    14.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 256   104       0   19375  255007       0  255007  254992    14.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 257   105       0   19369  254935       0  254934  254920    14.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 258   106       0   19364  254862       0  254862  254847    14.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 259   107       0   19359  254788       0  254787  254773    14.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 260   108       0   19353  254713       0  254713  254699    14.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 261   109       0   19347  254638       0  254638  254624    14.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 262   110       0   19342  254565       1  254564  254550    14.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 263   111       0   19336  254492       1  254491  254477    14.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 264   112       0   19332  254421       1  254420  254406    14.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 265   113       0   19327  254352       1  254351  254337    14.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 266   114       0   19323  254285       2  254283  254269    14.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 267   115       0   19318  254218       2  254216  254202    14.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 268   116       0   19313  254152       3  254149  254135    14.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 269   117       0   19309  254085       3  254082  254068    14.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 270   118       0   19304  254019       4  254015  254001    14.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 271   119       0   19299  253952       5  253947  253933    14.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 272   120       0   19294  253885       6  253879  253865    14.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 273   121       0   19289  253817       7  253810  253796    14.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 274   122       0   19284  253749       8  253740  253726    14.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 275   123       0   19279  253682      10  253671  253657    13.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 276   124       0   19274  253614      13  253601  253587    13.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 277   125       0   19269  253545      16  253529  253515    13.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 278   126       0   19264  253477      19  253458  253444    13.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 279   127       0   19259  253409      23  253386  253372    13.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 280   128       0   19253  253340      27  253313  253299    13.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 281   129       0   19248  253271      32  253239  253225    13.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
