,EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,PRED,DAYLD,TWLD,SRAD,PARD,CLDD,TMXD,TMND,TAVD,TDYD,TDWD,TGAD,TGRD,WDSD,CO2D,VPDF,VPD,OZON7,WDATE
1,CRDA1201,RICER048,1,1,2012-06-01,1,0,12,12.9,23.7,47.4,0.12,40,23.8,31.5,34.2,10,31.5,34.2,222,393.6,0,0,NA,2012-06-01
2,CRDA1201,RICER048,1,1,2012-06-02,2,0,12,12.9,24.7,49.4,0.08,38.3,23.8,30.7,33.1,12.6,30.7,33.1,339,393.6,0,0,NA,2012-06-02
3,CRDA1201,RICER048,1,1,2012-06-03,3,0.6,12,12.9,22.3,44.6,0.17,39.6,24.7,31.8,34.2,12.4,31.8,34.2,177,393.6,0,0,NA,2012-06-03
4,CRDA1201,RICER048,1,1,2012-06-04,4,6,12,12.9,22.9,45.8,0.14,38.5,25.7,31.8,33.9,14.8,31.8,33.9,205,393.6,0,0,NA,2012-06-04
5,CRDA1201,RICER048,1,1,2012-06-05,5,0,12,12.9,24,48,0.1,39.6,24.8,31.9,34.3,14.6,31.9,34.3,236,393.6,0,0,NA,2012-06-05
6,CRDA1201,RICER048,1,1,2012-06-06,6,0,12,12.9,23.6,47.2,0.12,39.8,24.7,31.9,34.4,13.1,31.9,34.4,287,393.6,0,0,NA,2012-06-06
7,CRDA1201,RICER048,1,1,2012-06-07,7,0,12,12.9,24.2,48.4,0.09,39.5,23.7,31.3,33.8,12.1,31.3,33.8,253,393.6,0,0,NA,2012-06-07
8,CRDA1201,RICER048,1,1,2012-06-08,8,0,12,12.9,24,48,0.1,39.4,23.5,31.1,33.7,11.6,31.1,33.7,222,393.6,0,0,NA,2012-06-08
9,CRDA1201,RICER048,1,1,2012-06-09,9,0,12,12.9,23.8,47.6,0.11,40.1,25.1,32.3,34.7,13.4,32.3,34.7,255,393.6,0,0,NA,2012-06-09
10,CRDA1201,RICER048,1,1,2012-06-10,10,3.1,12,12.9,24.2,48.4,0.09,41.1,26.4,33.4,35.8,14.8,33.4,35.8,227,393.6,0,0,NA,2012-06-10
11,CRDA1201,RICER048,1,1,2012-06-11,11,1.7,12,12.9,20.8,41.6,0.22,39.4,25.7,32.3,34.5,15.5,32.3,34.5,314,393.6,0,0,NA,2012-06-11
