Var1,EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,SRAA,TMAXA,TMINA,REFA,EOAA,EOPA,EOSA,ETAA,EPAA,ESAA,EFAA,EMAA,EOAC,ETAC,EPAC,ESAC,EFAC,EMAC,KCAA,KBSA,KEAA,ES1D,ES2D,ES3D,ES4D,ES5D,ES6D,ES7D,TRWUD,TWUPD
1,CRDA1201,RICER048,1,1,2012-06-01,1,9,32.5,23.4,NA,2.616,0,2.616,2.616,0,2.616,0,0,2.62,2.62,0,2.62,0,0,NA,NA,NA,0.674,0.464,0.442,0.308,0.243,0.265,0.221,0,0
2,CRDA1201,RICER048,1,1,2012-06-02,2,24.6,33,24.9,NA,7.345,0,7.345,7.345,0,7.345,0,0,9.96,9.96,0,9.96,0,0,NA,NA,NA,1.999,1.299,1.216,0.844,0.663,0.721,0.602,0,0
3,CRDA1201,RICER048,1,1,2012-06-03,3,21.3,33.6,23.8,NA,6.31,0,6.31,6.31,0,6.31,0,0,16.27,16.27,0,16.27,0,0,NA,NA,NA,1.65,1.124,1.061,0.738,0.58,0.63,0.527,0,0
4,CRDA1201,RICER048,1,1,2012-06-04,4,10,29.9,24.4,NA,2.863,0,2.863,2.863,0,2.863,0,0,19.13,19.13,0,19.13,0,0,NA,NA,NA,0.746,0.509,0.482,0.336,0.265,0.286,0.239,0,0
5,CRDA1201,RICER048,1,1,2012-06-05,5,21.8,32.6,23.9,NA,6.414,0,6.414,6.414,0,6.414,0,0,25.55,25.55,0,25.55,0,0,NA,NA,NA,1.733,1.147,1.068,0.739,0.582,0.626,0.519,0,0
6,CRDA1201,RICER048,1,1,2012-06-06,6,20,36,25.1,NA,6.424,0,6.424,6.424,0,6.424,0,0,31.97,31.97,0,31.97,0,0,NA,NA,NA,1.733,1.163,1.07,0.74,0.579,0.625,0.513,0,0
7,CRDA1201,RICER048,1,1,2012-06-07,7,23,33.5,24.1,NA,6.845,0,6.845,6.845,0,6.845,0,0,38.82,38.82,0,38.82,0,0,NA,NA,NA,1.834,1.237,1.144,0.792,0.62,0.668,0.548,0,0
8,CRDA1201,RICER048,1,1,2012-06-08,8,22,32.9,24.9,NA,6.533,0,6.533,6.533,0,6.533,0,0,45.35,45.35,0,45.35,0,0,NA,NA,NA,1.747,1.178,1.092,0.757,0.593,0.639,0.526,0,0
9,CRDA1201,RICER048,1,1,2012-06-09,9,15.5,31.8,24.8,NA,4.554,0,4.554,4.554,0,4.554,0,0,49.9,49.9,0,49.9,0,0,NA,NA,NA,1.189,0.823,0.768,0.533,0.418,0.451,0.372,0,0
10,CRDA1201,RICER048,1,1,2012-06-10,10,19.3,30.9,24.2,NA,5.575,0,5.575,5.575,0,5.575,0,0,55.48,55.48,0,55.48,0,0,NA,NA,NA,1.478,0.995,0.935,0.65,0.511,0.551,0.457,0,0
11,CRDA1201,RICER048,1,1,2012-06-11,11,18.6,31.3,23.9,NA,5.408,0,5.408,5.408,0,5.408,0,0,60.89,60.89,0,60.89,0,0,NA,NA,NA,1.446,0.961,0.902,0.628,0.494,0.533,0.444,0,0
12,CRDA1201,RICER048,1,1,2012-06-12,12,22.6,33.9,22.9,NA,6.683,0,6.683,6.683,0,6.683,0,0,67.57,67.57,0,67.57,0,0,NA,NA,NA,1.761,1.189,1.121,0.78,0.614,0.664,0.555,0,0
13,CRDA1201,RICER048,1,1,2012-06-13,13,23.6,35,24.3,NA,7.117,0,7.117,7.117,0,7.117,0,0,74.69,74.69,0,74.69,0,0,NA,NA,NA,1.899,1.27,1.187,0.825,0.648,0.703,0.585,0,0
14,CRDA1201,RICER048,1,1,2012-06-14,14,21.8,32.3,23.4,NA,6.372,0,6.372,6.372,0,6.372,0,0,81.06,81.06,0,81.06,0,0,NA,NA,NA,1.624,1.149,1.082,0.753,0.592,0.643,0.531,0,0
15,CRDA1201,RICER048,1,1,2012-06-15,15,22.7,33.5,24.1,NA,6.694,0,6.694,6.694,0,6.694,0,0,87.75,87.75,0,87.75,0,0,NA,NA,NA,1.597,1.205,1.164,0.813,0.641,0.699,0.575,0,0
16,CRDA1201,RICER048,1,1,2012-06-16,16,24.4,34,24,NA,7.193,0,7.193,1.283,0,1.283,0,0,94.95,89.04,0,89.04,0,0,NA,NA,NA,1.056,0.137,0.051,0.019,0.01,0.007,0.004,0,0
17,CRDA1201,RICER048,1,1,2012-06-17,17,20.9,33.6,24.9,NA,6.175,0,6.175,1.296,0,1.296,0,0,101.12,90.33,0,90.33,0,0,NA,NA,NA,1.069,0.137,0.05,0.019,0.01,0.007,0.004,0,0
18,CRDA1201,RICER048,1,1,2012-06-18,18,20.4,31.2,25,NA,5.891,0,5.891,1.312,0,1.312,0,0,107.01,91.64,0,91.64,0,0,NA,NA,NA,1.084,0.137,0.05,0.019,0.01,0.007,0.004,0,0
19,CRDA1201,RICER048,1,1,2012-06-19,19,25.2,36.3,24.8,NA,8.108,0,8.108,6.904,0,6.904,0,0,115.12,98.55,0,98.55,0,0,NA,NA,NA,1.684,1.23,1.185,0.832,0.659,0.72,0.595,0,0
20,CRDA1201,RICER048,1,1,2012-06-20,20,21.8,33,24.1,NA,6.39,0,6.39,6.39,0,6.39,0,0,121.51,104.94,0,104.94,0,0,NA,NA,NA,1.624,1.144,1.074,0.752,0.598,0.656,0.543,0,0
21,CRDA1201,RICER048,1,1,2012-06-21,21,16.9,30.1,24.6,NA,4.837,0,4.837,4.837,0,4.837,0,0,126.35,109.77,0,109.77,0,0,NA,NA,NA,1.252,0.875,0.806,0.559,0.447,0.491,0.407,0,0
22,CRDA1201,RICER048,1,1,2012-06-22,22,24.4,34,23.7,NA,7.231,0,7.231,6.852,0,6.852,0,0,133.58,116.63,0,116.63,0,0,NA,NA,NA,1.757,1.255,1.148,0.788,0.631,0.696,0.577,0,0
23,CRDA1201,RICER048,1,1,2012-06-23,23,23.5,33.8,23.9,NA,6.925,0,6.925,6.775,0,6.775,0,0,140.5,123.4,0,123.4,0,0,NA,NA,NA,1.744,1.247,1.135,0.771,0.621,0.686,0.571,0,0
24,CRDA1201,RICER048,1,1,2012-06-24,24,21,30.7,24.2,NA,6.031,0,6.031,6.031,0,6.031,0,0,146.53,129.43,0,129.43,0,0,NA,NA,NA,1.576,1.149,1.028,0.708,0.539,0.57,0.462,0,0
25,CRDA1201,RICER048,1,1,2012-06-25,25,17.2,28.8,24.5,NA,4.89,0,4.89,4.89,0,4.89,0,0,151.42,134.32,0,134.32,0,0,NA,NA,NA,1.253,0.951,0.844,0.592,0.446,0.451,0.354,0,0
26,CRDA1201,RICER048,1,1,2012-06-26,26,24.1,30,23.5,NA,6.9,0,6.9,6.9,0,6.9,0,0,158.32,141.22,0,141.22,0,0,NA,NA,NA,1.746,1.315,1.166,0.818,0.643,0.671,0.542,0,0
27,CRDA1201,RICER048,1,1,2012-06-27,27,19.9,29.4,23.9,NA,5.666,0,5.666,5.666,0,5.666,0,0,163.99,146.89,0,146.89,0,0,NA,NA,NA,1.405,1.069,0.951,0.667,0.528,0.569,0.476,0,0
28,CRDA1201,RICER048,1,1,2012-06-28,28,23.2,29.4,23.6,NA,6.601,0,6.601,6.601,0,6.601,0,0,170.59,153.49,0,153.49,0,0,NA,NA,NA,1.647,1.245,1.105,0.775,0.613,0.661,0.555,0,0
29,CRDA1201,RICER048,1,1,2012-06-29,29,20.8,32.5,23.4,NA,6.099,0,6.099,6.099,0,6.099,0,0,176.69,159.59,0,159.59,0,0,NA,NA,NA,1.539,1.123,1.023,0.719,0.57,0.61,0.515,0,0
30,CRDA1201,RICER048,1,1,2012-06-30,30,16.8,31.1,23.5,NA,4.861,0,4.861,4.861,0,4.861,0,0,181.55,164.45,0,164.45,0,0,NA,NA,NA,1.247,0.887,0.812,0.571,0.452,0.484,0.408,0,0
31,CRDA1201,RICER048,1,1,2012-07-01,31,14.5,29.6,24.4,NA,4.161,0,4.161,4.161,0,4.161,0,0,185.71,168.61,0,168.61,0,0,NA,NA,NA,1.082,0.759,0.692,0.485,0.384,0.411,0.346,0,0
32,CRDA1201,RICER048,1,1,2012-07-02,32,21.1,31.3,23.7,NA,6.138,0,6.138,6.138,0,6.138,0,0,191.85,174.75,0,174.75,0,0,NA,NA,NA,1.584,1.145,1.03,0.717,0.562,0.598,0.502,0,0
33,CRDA1201,RICER048,1,1,2012-07-03,33,18.2,30.8,24.1,NA,5.245,0,5.245,5.245,0,5.245,0,0,197.09,179.99,0,179.99,0,0,NA,NA,NA,1.312,1.007,0.878,0.617,0.485,0.516,0.429,0,0
34,CRDA1201,RICER048,1,1,2012-07-04,34,18.5,31.2,23.9,NA,5.401,0,5.401,5.401,0,5.401,0,0,202.5,185.39,0,185.39,0,0,NA,NA,NA,1.4,1.028,0.89,0.625,0.495,0.526,0.437,0,0
35,CRDA1201,RICER048,1,1,2012-07-05,35,21.7,31.5,23.8,NA,6.328,0,6.328,6.328,0,6.328,0,0,208.82,191.72,0,191.72,0,0,NA,NA,NA,1.628,1.146,1.056,0.745,0.592,0.631,0.53,0,0
36,CRDA1201,RICER048,1,1,2012-07-06,36,17.4,30.1,23.2,NA,4.963,0,4.963,4.963,0,4.963,0,0,213.79,196.69,0,196.69,0,0,NA,NA,NA,1.269,0.886,0.829,0.586,0.467,0.502,0.423,0,0
37,CRDA1201,RICER048,1,1,2012-07-07,37,20.6,29.9,23.4,NA,5.874,0,5.874,5.874,0,5.874,0,0,219.66,202.56,0,202.56,0,0,NA,NA,NA,1.546,1.038,0.973,0.686,0.546,0.589,0.497,0,0
38,CRDA1201,RICER048,1,1,2012-07-08,38,21,30.1,23.4,NA,6.006,0,6.006,6.006,0,6.006,0,0,225.67,208.57,0,208.57,0,0,NA,NA,NA,1.565,1.064,1.001,0.703,0.558,0.605,0.51,0,0
39,CRDA1201,RICER048,1,1,2012-07-09,39,22,31,23.1,NA,6.31,0,6.31,6.31,0,6.31,0,0,231.98,214.87,0,214.87,0,0,NA,NA,NA,1.561,1.123,1.074,0.754,0.598,0.651,0.548,0,0
40,CRDA1201,RICER048,1,1,2012-07-10,40,13,29.9,23.2,NA,3.665,0,3.665,3.665,0,3.665,0,0,235.64,218.54,0,218.54,0,0,NA,NA,NA,0.873,0.652,0.633,0.445,0.354,0.386,0.323,0,0
41,CRDA1201,RICER048,1,1,2012-07-11,41,23.3,32.1,23.8,NA,6.76,0,6.76,6.76,0,6.76,0,0,242.4,225.3,0,225.3,0,0,NA,NA,NA,1.629,1.201,1.161,0.814,0.65,0.71,0.594,0,0
42,CRDA1201,RICER048,1,1,2012-07-12,42,21.3,31,24.2,NA,6.104,0,6.104,6.104,0,6.104,0,0,248.51,231.4,0,231.4,0,0,NA,NA,NA,1.469,1.089,1.04,0.734,0.588,0.644,0.54,0,0
43,CRDA1201,RICER048,1,1,2012-07-13,43,15.2,29.5,24.2,NA,4.297,0,4.297,4.297,0,4.297,0,0,252.8,235.7,0,235.7,0,0,NA,NA,NA,1.056,0.773,0.718,0.51,0.411,0.451,0.379,0,0
44,CRDA1201,RICER048,1,1,2012-07-14,44,20.5,28.4,22.7,NA,5.672,0,5.672,5.672,0,5.672,0,0,258.47,241.37,0,241.37,0,0,NA,NA,NA,1.497,1.046,0.935,0.644,0.513,0.564,0.474,0,0
45,CRDA1201,RICER048,1,1,2012-07-15,45,19.9,29.2,23.3,NA,5.635,0,5.635,5.635,0,5.635,0,0,264.11,247.01,0,247.01,0,0,NA,NA,NA,1.532,1.079,0.94,0.628,0.486,0.526,0.443,0,0
46,CRDA1201,RICER048,1,1,2012-07-16,46,12.8,28.6,24.2,NA,3.624,0,3.624,3.624,0,3.624,0,0,267.73,250.63,0,250.63,0,0,NA,NA,NA,0.954,0.708,0.622,0.417,0.316,0.333,0.274,0,0
47,CRDA1201,RICER048,1,1,2012-07-17,47,19.1,29.6,22.8,NA,5.425,0,5.425,5.425,0,5.425,0,0,273.16,256.06,0,256.06,0,0,NA,NA,NA,1.406,1.053,0.932,0.639,0.485,0.504,0.406,0,0
48,CRDA1201,RICER048,1,1,2012-07-18,48,17.5,28.7,23.1,NA,4.924,0,4.924,4.924,0,4.924,0,0,278.08,260.98,0,260.98,0,0,NA,NA,NA,1.264,0.923,0.837,0.587,0.455,0.473,0.385,0,0
49,CRDA1201,RICER048,1,1,2012-07-19,49,19.9,30.4,22.5,NA,5.678,0.011,5.667,5.678,0.011,5.667,0,0,283.76,266.66,0.01,266.65,0,0,NA,NA,NA,1.465,1.017,0.954,0.673,0.533,0.562,0.463,0.001,0.298
50,CRDA1201,RICER048,1,1,2012-07-20,50,20.4,28.9,23.3,NA,5.74,0.015,5.725,5.74,0.015,5.725,0,0,289.5,272.4,0.03,272.37,0,0,NA,NA,NA,1.469,1.017,0.962,0.678,0.54,0.579,0.482,0.001,0.298
