Var1,EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,PRED,DAYLD,TWLD,SRAD,PARD,CLDD,TMXD,TMND,TAVD,TDYD,TDWD,TGAD,TGRD,WDSD,CO2D,VPDF,VPD,OZON7,WDATE
1,CRDA1201,RICER048,1,1,2012-06-01,1,14.7,12,12.9,11,22,0.59,32.4,24.1,28.1,29.4,19.7,28.1,29.4,189,393.6,0,0,NA,2012-06-01
2,CRDA1201,RICER048,1,1,2012-06-02,2,2.7,12,12.9,24.7,49.4,0.08,33.9,25.2,29.4,30.8,19.9,29.4,30.8,196,393.6,0,0,NA,2012-06-02
3,CRDA1201,RICER048,1,1,2012-06-03,3,4.8,12,12.9,21.3,42.6,0.2,33.8,24.1,28.7,30.3,19.1,28.7,30.3,294,393.6,0,0,NA,2012-06-03
4,CRDA1201,RICER048,1,1,2012-06-04,4,2.8,12,12.9,16,32,0.4,30.6,24.6,27.5,28.4,21.2,27.5,28.4,234,393.6,0,0,NA,2012-06-04
5,CRDA1201,RICER048,1,1,2012-06-05,5,5.9,12,12.9,24.4,48.8,0.09,33.8,24.1,28.7,30.3,19.5,28.7,30.3,132,393.6,0,0,NA,2012-06-05
6,CRDA1201,RICER048,1,1,2012-06-06,6,4.8,12,12.9,23.7,47.4,0.11,37.7,25.1,31.1,33.2,18.1,31.1,33.2,194,393.6,0,0,NA,2012-06-06
7,CRDA1201,RICER048,1,1,2012-06-07,7,7.9,12,12.9,24.6,49.2,0.08,34.9,24.4,29.4,31.1,19.2,29.4,31.1,231,393.6,0,0,NA,2012-06-07
8,CRDA1201,RICER048,1,1,2012-06-08,8,7.8,12,12.9,23.5,47,0.12,34.5,24.9,29.5,31.1,20.2,29.5,31.1,344,393.6,0,0,NA,2012-06-08
9,CRDA1201,RICER048,1,1,2012-06-09,9,3.9,12,12.9,20.6,41.2,0.23,32.5,25,28.6,29.8,21.5,28.6,29.8,360,393.6,0,0,NA,2012-06-09
10,CRDA1201,RICER048,1,1,2012-06-10,10,10.3,12,12.9,19.6,39.2,0.26,30.9,24.5,27.6,28.6,21.1,27.6,28.6,282,393.6,0,0,NA,2012-06-10
11,CRDA1201,RICER048,1,1,2012-06-11,11,9.2,12,12.9,20.9,41.8,0.22,32.8,24,28.2,29.6,19.6,28.2,29.6,177,393.6,0,0,NA,2012-06-11
12,CRDA1201,RICER048,1,1,2012-06-12,12,5.8,12,12.9,24.4,48.8,0.08,34.3,23.1,28.5,30.3,18.1,28.5,30.3,161,393.6,0,0,NA,2012-06-12
13,CRDA1201,RICER048,1,1,2012-06-13,13,9.6,12,12.9,23.7,47.4,0.11,34.9,24.4,29.4,31.1,18.9,29.4,31.1,209,393.6,0,0,NA,2012-06-13
