LON,LAT,sand,silt,clay,BULK,COARSE,OrganicCarbon,N,PH,SLLL,SDUL,SSAT,SSKS
-16.7295,12.3552,0.605,0.192,0.203,1.52,0.47,0.44,0.42,6.2,0.1242125764,0.212817810920073,0.390902903720073,0.43
-16.7295,12.4399,0.614,0.174,0.212,1.55,0.38,0.64,0.41,6.4,0.13093643776,0.218251661088221,0.394450166816221,0.43
-16.7295,12.5246,0.599,0.189,0.211,1.5,0.47,0.77,0.45,6.3,0.13138002088,0.222146522155886,0.398018008339886,0.43
-16.7295,12.6093,0.619,0.179,0.202,1.52,0.4,0.41,0.36,6.3,0.12326707636,0.209089576283105,0.389577257211105,0.43
-16.7295,12.694,0.63,0.167,0.203,1.51,0.48,0.47,0.45,6.2,0.1242073666,0.208121841413336,0.390233614733336,0.43
-16.7295,12.7787,0.617,0.167,0.216,1.54,0.77,0.5,0.43,6.4,0.13228689544,0.218310656472923,0.391510425144923,0.43
-16.7295,12.8634,0.645,0.168,0.187,1.54,0.92,0.8,0.46,6.3,0.1170576628,0.200129275994938,0.396676959034938,2.59
-16.7295,12.9481,0.593,0.196,0.211,1.57,0.86,0.45,0.45,6.3,0.12914992096,0.219747090183545,0.391870450831545,0.43
-16.7295,13.0328,0.562,0.207,0.232,1.54,0.74,0.73,0.57,6.4,0.14369457448,0.240349100137608,0.400089814921608,0.43
-16.6448,12.4399,0.617,0.186,0.197,1.58,0.63,0.48,0.43,6.3,0.12082175128,0.207541165797762,0.391121734021762,0.43
-16.6448,12.5246,0.612,0.177,0.211,1.58,0.54,0.52,0.47,6.4,0.12949369024,0.21673999827816,0.39218510295016,0.43
-16.6448,12.6093,0.647,0.167,0.185,1.58,0.5,0.43,0.41,6.3,0.1129732024,0.194181053455077,0.388991743095077,2.59
-16.6448,12.694,0.639,0.147,0.214,1.55,0.6,0.48,0.46,6.4,0.13077522352,0.212634168443447,0.389841127739447,0.43
-16.6448,12.7787,0.615,0.162,0.222,1.56,1.06,0.43,0.43,6.5,0.1353812134,0.22129410294545,0.39033088950545,0.43
-16.6448,12.8634,0.618,0.171,0.211,1.54,0.85,0.69,0.46,6.3,0.13067550316,0.2174730710493,0.395203962657301,0.43
-16.6448,12.9481,0.631,0.175,0.193,1.57,0.8,0.43,0.41,6.2,0.11792406736,0.201894211295779,0.389480690183779,2.59
-16.6448,13.0328,0.622,0.176,0.203,1.58,0.55,0.54,0.46,6.2,0.12479530792,0.210535249293576,0.392056481629576,0.43
-16.6448,13.1175,0.638,0.166,0.196,1.56,0.5,0.62,0.42,6.3,0.12108788656,0.204366068845033,0.392982824173033,0.43
-16.5601,12.4399,0.601,0.162,0.237,1.61,0.72,0.62,0.48,6.3,0.14570309944,0.234475366318156,0.395072626590156,0.43
-16.5601,12.5246,0.596,0.16,0.244,1.57,0.55,0.67,0.48,6.4,0.15020677888,0.239867984897085,0.396494455201085,0.43
-16.5601,12.6093,0.626,0.164,0.21,1.62,0.67,0.51,0.49,6.3,0.1287121792,0.213288303631112,0.391188642911112,0.43
-16.5601,12.694,0.629,0.174,0.198,1.6,0.83,0.55,0.55,6.1,0.12183071284,0.206472756630977,0.391962858422977,0.43
-16.5601,12.7787,0.635,0.17,0.196,1.6,0.91,0.5,0.44,6.3,0.1202072092,0.203565582814951,0.390689299774951,0.43
-16.5601,12.8634,0.647,0.159,0.194,1.55,0.77,0.64,0.46,6.4,0.11997096016,0.20167500916549,0.39300958817349,2.59
-16.5601,12.9481,0.631,0.183,0.186,1.58,0.66,0.65,0.5,6.2,0.11542964932,0.200652957738425,0.394225884554425,2.59
-16.5601,13.0328,0.639,0.179,0.182,1.61,0.7,0.56,0.45,6.2,0.11227477456,0.195736359726569,0.392109176814569,2.59
-16.5601,13.1175,0.638,0.167,0.195,1.58,0.61,0.54,0.43,6.3,0.1198855012,0.202871838247707,0.391382665847707,0.43
-16.4754,12.4399,0.572,0.196,0.232,1.62,0.59,0.9,0.48,6.2,0.14477499808,0.240229545201732,0.402629758705732,0.43
