CULTIVAR;P1;P2R;P5;P2O;G1;G2;G3;PHINT;THOT;TCLDP;TCLDF;Genetical_group;CULTIVARN
NERICA1;393.1;18.9;350.8;8.9;59.4;0.0425;1.00;83.0;26.7;15.0;15.0;Hybrid;N1
NERICA4;329.7;133.5;364.6;12.1;247.1;0.063;1.20;83.0;25.3;15.0;15.0;Hybrid;N4
NERICA8;322.6;44.2;281.8;12.7;285.0;0.0256;1.15;83.0;28.0;15.0;15.0;Hybrid;N8
NERICA11;290.0;99.3;523.8;12.6;540.8;0.048;1.01;83.0;25.7;15.0;15.0;Hybrid;N11
WABC165;417.4;17.7;350.8;11.3;59.4;0.029;0.33;83.0;28.2;15.0;15.0;Japonica;W165
NERICA14;253.9;115.5;296.8;12.5;480.2;0.021;0.48;83.0;32.8;15.0;15.0;Hybrid;N14
NERICA12;292.4;44.5;325.8;9.5;65.0;0.040;1.13;83.0;26.7;15.0;15.0;Hybrid;N12
NERICA9;19.7;324.3;11.7;180.1;0.0225;0.03;83.0;28.7;15.0;15.0;15.0;Hybrid;N9
NERICA17;378.4;140.7;337.8;12.7;212.5;0.026;0.92;83.0;27.5;15.0;15.0;Hybrid;N17
FKR45N;316.9;44.6;367.8;11.7;114.3;0.027;0.23;83.0;26.2;15.0;15.0;Hybrid;F45N
NERICA6;417.6;18.8;327.6;10.0;70.5;0.0376;0.99;83.0;27.7;15.0;15.0;Hybrid;N6
DJ11;388.3;88.1;358.8;12.4;97.8;0.042;1.02;83.0;28.5;15.0;15.0;Indica;DJ11
IRAT10;352.9;49.5;335.0;9.2;48.2;0.027;1.97;83.0;32.0;15.0;15.0;Indica;IR10
ITA150;413.4;13.7;319.2;12.7;50.6;0.0355;0.72;83.0;31.4;15.0;15.0;Japonica;ITA150
WAB56-50;376.5;116.0;355.5;12.7;75.0;0.0246;0.57;83.0;27.9;15.0;15.0;Japonica;W56
DKAP2;379.4;44.9;263.8;11.9;62.9;0.0276;0.71;83.0;28.4;15.0;15.0;Hybrid;DK2
DKAP3;417.4;19.9;345.2;10.2;48.6;0.0326;0.64;83.0;27.8;15.0;15.0;Hybrid;DK3
DKAP17;127.8;339.5;12.7;38.3;0.029;0.03;83.0;25.2;15.0;15.0;15.0;Hybrid;DK17
WAB189;350.0;55.6;371.6;11.3;47.7;0.028;0.73;83.0;31.6;15.0;15.0;Japonica;W189
WAB181;402.3;20.7;357.8;10.5;70.7;0.0815;2.26;83.0;26.9;15.0;15.0;Japonica;W181
RD 23;310.3 ;140.0; 370.0 ; 11.2  ;53.0;0.023;0.30  ;83.0  ;28.0 ; 15.0  ;15.0;Japonica;RD23
Ideotype 1;543.25;109.75;185;11.95;65;0.023375;0.89;71.125;35.0; 15.0  ; 15.0  ;Virtual;I1
Ideotype 2;587.67;130.12;324.04;11.581;63.967;0.022392;1.2692;69.533;35.0; 15.0  ; 15.0  ;Virtual;I2
Ideotype 3;587.24;201.71;186.5;11.875;60;0.023539;0.588;65.781;35.0; 15.0; 15.0;Virtual;I3
Ideotype 4;540;182;334;11.4;50;0.027;0.94;83;35.0; 15.0; 15.0;Virtual;I4
