,EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,SRAA,TMAXA,TMINA,REFA,EOAA,EOPA,EOSA,ETAA,EPAA,ESAA,EFAA,EMAA,EOAC,ETAC,EPAC,ESAC,EFAC,EMAC,KCAA,KBSA,KEAA,ES1D,ES2D,ES3D,ES4D,ES5D,ES6D,TRWUD,TWUPD
1,CRDA1201,RICER048,1,1,2012-06-01,1,16.2,36.3,22.6,NA,5.156,0,5.156,2.689,0,2.689,0,0,5.16,2.69,0,2.69,0,0,NA,NA,NA,0.772,0.507,0.174,0.574,0.369,0.294,0,0
2,CRDA1201,RICER048,1,1,2012-06-02,2,24.1,37.3,24.3,NA,8.318,0,8.318,2.589,0,2.589,0,0,13.47,5.28,0,5.28,0,0,NA,NA,NA,0.702,0.491,0.169,0.568,0.367,0.292,0,0
3,CRDA1201,RICER048,1,1,2012-06-03,3,23.3,38.2,24.8,NA,8.271,0,8.271,0.436,0,0.436,0,0,21.75,5.71,0,5.71,0,0,NA,NA,NA,0.367,0.045,0.008,0.011,0.003,0.002,0,0
4,CRDA1201,RICER048,1,1,2012-06-04,4,22.7,37.4,26.3,NA,7.778,0,7.778,0.405,0,0.405,0,0,29.52,6.12,0,6.12,0,0,NA,NA,NA,0.336,0.045,0.008,0.011,0.003,0.002,0,0
5,CRDA1201,RICER048,1,1,2012-06-05,5,23.3,39.4,24.9,NA,8.686,0,8.686,0.377,0,0.377,0,0,38.21,6.5,0,6.5,0,0,NA,NA,NA,0.308,0.045,0.008,0.011,0.003,0.002,0,0
6,CRDA1201,RICER048,1,1,2012-06-06,6,23.4,38.8,25.8,NA,8.488,0,8.488,0.351,0,0.351,0,0,46.7,6.85,0,6.85,0,0,NA,NA,NA,0.283,0.045,0.008,0.011,0.003,0.002,0,0
7,CRDA1201,RICER048,1,1,2012-06-07,7,24.3,39.5,26.7,NA,9.13,0,9.13,0.348,0,0.348,0,0,55.83,7.2,0,7.2,0,0,NA,NA,NA,0.28,0.044,0.008,0.011,0.003,0.002,0,0
8,CRDA1201,RICER048,1,1,2012-06-08,8,22.1,39.5,26.8,NA,8.334,0,8.334,0.345,0,0.345,0,0,64.16,7.54,0,7.54,0,0,NA,NA,NA,0.278,0.044,0.008,0.011,0.003,0.002,0,0
9,CRDA1201,RICER048,1,1,2012-06-09,9,21.1,37.7,27.9,NA,7.313,0,7.313,0.322,0,0.322,0,0,71.47,7.86,0,7.86,0,0,NA,NA,NA,0.255,0.044,0.008,0.011,0.003,0.002,0,0
10,CRDA1201,RICER048,1,1,2012-06-10,10,22.1,38,28,NA,7.752,0,7.752,2.444,0,2.444,0,0,79.23,10.31,0,10.31,0,0,NA,NA,NA,0.593,0.474,0.166,0.559,0.362,0.29,0,0
11,CRDA1201,RICER048,1,1,2012-06-11,11,24.2,38.4,21.6,NA,8.595,0,8.595,2.503,0,2.503,0,0,87.82,12.81,0,12.81,0,0,NA,NA,NA,0.666,0.478,0.164,0.552,0.356,0.287,0,0
12,CRDA1201,RICER048,1,1,2012-06-12,12,25,38.7,25.4,NA,9.101,0,9.101,0.416,0,0.416,0,0,96.92,13.23,0,13.23,0,0,NA,NA,NA,0.348,0.045,0.007,0.011,0.003,0.002,0,0
13,CRDA1201,RICER048,1,1,2012-06-13,13,23.7,39.4,28.4,NA,9.049,0,9.049,0.387,0,0.387,0,0,105.97,13.61,0,13.61,0,0,NA,NA,NA,0.319,0.044,0.007,0.011,0.003,0.002,0,0
14,CRDA1201,RICER048,1,1,2012-06-14,14,23.9,39.8,27.4,NA,9.199,0,9.199,0.36,0,0.36,0,0,115.17,13.97,0,13.97,0,0,NA,NA,NA,0.293,0.044,0.007,0.011,0.003,0.002,0,0
15,CRDA1201,RICER048,1,1,2012-06-15,15,25.1,39.9,25.5,NA,9.551,0,9.551,0.335,0,0.335,0,0,124.72,14.31,0,14.31,0,0,NA,NA,NA,0.269,0.044,0.007,0.011,0.003,0.002,0,0
16,CRDA1201,RICER048,1,1,2012-06-16,16,24,40.6,26.2,NA,9.439,0,9.439,0.313,0,0.313,0,0,134.16,14.62,0,14.62,0,0,NA,NA,NA,0.246,0.044,0.007,0.011,0.003,0.002,0,0
17,CRDA1201,RICER048,1,1,2012-06-17,17,24.2,39.8,28,NA,9.244,0,9.244,0.292,0,0.292,0,0,143.4,14.91,0,14.91,0,0,NA,NA,NA,0.226,0.043,0.007,0.011,0.003,0.002,0,0
18,CRDA1201,RICER048,1,1,2012-06-18,18,21.4,40.4,25.4,NA,8.242,0,8.242,0.273,0,0.273,0,0,151.65,15.19,0,15.19,0,0,NA,NA,NA,0.207,0.043,0.007,0.011,0.003,0.002,0,0
19,CRDA1201,RICER048,1,1,2012-06-19,19,24.4,40.9,26.7,NA,9.664,0,9.664,0.256,0,0.256,0,0,161.31,15.44,0,15.44,0,0,NA,NA,NA,0.19,0.043,0.007,0.011,0.003,0.002,0,0
20,CRDA1201,RICER048,1,1,2012-06-20,20,23.4,40.5,28.2,NA,9.161,0,9.161,0.24,0,0.24,0,0,170.47,15.68,0,15.68,0,0,NA,NA,NA,0.174,0.043,0.007,0.011,0.003,0.002,0,0
21,CRDA1201,RICER048,1,1,2012-06-21,21,18.7,39.4,26.3,NA,6.857,0,6.857,0.225,0,0.225,0,0,177.33,15.91,0,15.91,0,0,NA,NA,NA,0.16,0.043,0.007,0.011,0.003,0.002,0,0
22,CRDA1201,RICER048,1,1,2012-06-22,22,24.5,40.2,24.6,NA,9.205,0,9.205,0.212,0,0.212,0,0,186.53,16.12,0,16.12,0,0,NA,NA,NA,0.147,0.042,0.007,0.011,0.003,0.002,0,0
23,CRDA1201,RICER048,1,1,2012-06-23,23,20.9,39.8,27.3,NA,7.824,0,7.824,0.199,0,0.199,0,0,194.36,16.32,0,16.32,0,0,NA,NA,NA,0.134,0.042,0.007,0.011,0.003,0.002,0,0
24,CRDA1201,RICER048,1,1,2012-06-24,24,22.2,40.5,28.9,NA,8.652,0,8.652,0.188,0,0.188,0,0,203.01,16.51,0,16.51,0,0,NA,NA,NA,0.123,0.042,0.007,0.011,0.003,0.002,0,0
25,CRDA1201,RICER048,1,1,2012-06-25,25,21.6,39,27.3,NA,7.756,0,7.756,0.178,0,0.178,0,0,210.76,16.68,0,16.68,0,0,NA,NA,NA,0.113,0.042,0.007,0.011,0.003,0.002,0,0
26,CRDA1201,RICER048,1,1,2012-06-26,26,22.3,39.8,27.8,NA,8.329,0,8.329,0.168,0,0.168,0,0,219.09,16.85,0,16.85,0,0,NA,NA,NA,0.104,0.041,0.007,0.011,0.003,0.002,0,0
27,CRDA1201,RICER048,1,1,2012-06-27,27,21.7,39.6,26.5,NA,7.952,0,7.952,0.159,0,0.159,0,0,227.05,17.01,0,17.01,0,0,NA,NA,NA,0.095,0.041,0.007,0.011,0.003,0.002,0,0
28,CRDA1201,RICER048,1,1,2012-06-28,28,23.8,40.3,25.3,NA,8.93,0,8.93,3.071,0,3.071,0,0,235.98,20.08,0,20.08,0,0,NA,NA,NA,0.841,0.72,0.259,0.591,0.369,0.292,0,0
29,CRDA1201,RICER048,1,1,2012-06-29,29,21.5,36.8,21.3,NA,7.355,0,7.355,4.304,0,4.304,0,0,243.33,24.38,0,24.38,0,0,NA,NA,NA,1.48,1.029,0.359,0.702,0.418,0.316,0,0
