*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  FEB 18, 2025 01:32:02

*RUN   1        : F1 NE 4                   RICER048 CRDA1201    1
 MODEL          : RICER048 - Rice
 EXPERIMENT     : CRDA1201 WH ESSAI VARIETE DAROU PAKA 2012
 DATA PATH      :
 TREATMENT  1   : F1 NE 4                   RICER048
  
!YR        Days  Days              Leaf  <--------- Dry Weight -----------> Grain Kernl              <------ Stress (0-1) ------>   Leaf  Shell  Spec  <-Canopy->  Root  <-- Root Length Density ---><Senesced Mat>   Phot  
!  and    after after  Leaf  Grow  Area  <------------ kg/Ha ------------->   per  wght  Harv Tillr  <--- Water ---->                Nit   -ing  Leaf  Hght Brdth Depth  <---- cm3/cm3 of soil -----> <--(kg/ha)-->  Therm  
!     DOY start plant   Num Stage Index  Leaf  Stem Grain  Root Panic  Crop    m2    mg  Indx   No.  Phot  Grow  Excs  Nitr Potas     %      %   Area    m     m     m    0-5  5-15 15-20 20-4747-100   Surf   Soil   Days  
@YEAR DOY   DAS   DAP  L#SD  GSTD  LAID  LWAD  SWAD  GWAD  RWAD  EWAD  CWAD  G#AD  GWGD  HIAD  T#AD  WSPD  WSGD  EWSD  NSTD  KSTD   LN%D   SH%D  SLAD  CHTD  CWID  RDPD  RL1D  RL2D  RL3D  RL4D  RL5D  SNW0C  SNW1C   DTTC  
 2012 220    68     0   0.0     0  0.00     1     1     0     1     0     1     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00   0.0  0.00  0.00  0.02  0.00  0.00  0.00  0.00  0.00      0      0     19
 2012 221    69     1   0.0     0  0.00     1     1     0     1     0     1     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00   0.0  0.00  0.00  0.02  0.00  0.00  0.00  0.00  0.00      0      0     36
 2012 222    70     2   0.0     0  0.00     1     1     0     1     0     1     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00   0.0  0.00  0.00  0.02  0.00  0.00  0.00  0.00  0.00      0      0     54
 2012 223    71     3   0.0     0  0.00     1     1     0     1     0     1     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00   0.0  0.00  0.00  0.05  0.00  0.00  0.00  0.00  0.00      0      0     72
 2012 224    72     4   1.0     1  0.01     2     1     0     1     0     2     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 288.3  0.00  0.00  0.08  0.76  0.50  0.00  0.00  0.00      0      0     91
 2012 225    73     5   1.0     1  0.01     3     1     0     1     0     4     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 245.3  0.00  0.00  0.08  0.76  0.50  0.00  0.00  0.00      0      0    110
 2012 226    74     6   1.0     1  0.01     4     1     0     1     0     5     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 226.9  0.00  0.00  0.11  0.76  0.50  0.00  0.00  0.00      0      0    128
 2012 227    75     7   2.0     1  0.01     6     1     0     2     0     6     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 215.9  0.00  0.00  0.14  0.76  0.50  0.00  0.00  0.00      0      0    146
 2012 228    76     8   2.0     1  0.01     7     1     0     2     0     8     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 208.7  0.00  0.00  0.17  0.76  0.50  0.00  0.00  0.00      0      0    164
 2012 229    77     9   3.0     1  0.02     9     1     0     3     0     9     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 203.5  0.00  0.00  0.21  0.76  0.50  0.00  0.00  0.00      0      0    182
 2012 230    78    10   3.0     1  0.02    10     1     0     3     0    11     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 200.0  0.00  0.00  0.24  0.75  0.50  0.01  0.00  0.00      0      0    199
 2012 231    79    11   3.0     1  0.02    12     1     0     5     0    13     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 197.1  0.00  0.00  0.27  0.75  0.50  0.01  0.00  0.00      0      0    217
 2012 232    80    12   4.0     1  0.03    15     1     0     6     0    15     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 194.9  0.00  0.00  0.30  0.76  0.51  0.02  0.00  0.00      0      0    235
 2012 233    81    13   4.0     1  0.03    17     1     0     8     0    17     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 193.1  0.00  0.00  0.34  0.76  0.51  0.02  0.00  0.00      0      0    254
 2012 234    82    14   4.0     1  0.04    19     1     0    10     0    20     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 191.8  0.00  0.00  0.37  0.76  0.52  0.03  0.00  0.00      0      0    273
 2012 235    83    15   5.0     1  0.04    22     1     0    11     0    23     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 204.2  0.00  0.00  0.41  0.77  0.52  0.04  0.01  0.00      0      0    291
 2012 236    84    16   5.0     1  0.05    25     1     0    13     0    25     0   0.0 0.000   131 0.000 0.000 0.000 0.000 0.000   0.00   0.00 201.6  0.00  0.00  0.44  0.77  0.52  0.04  0.01  0.00      0      0    309
 2012 237    85    17   5.0     1  0.06    28     1     0    15     0    29     0   0.0 0.000   138 0.000 0.000 0.000 0.000 0.000   0.00   0.00 199.3  0.00  0.00  0.47  0.77  0.53  0.05  0.01  0.00      0      0    328
 2012 238    86    18   6.0     1  0.06    32     1     0    17     0    32     0   0.0 0.000   144 0.000 0.000 0.000 0.000 0.000   0.00   0.00 197.4  0.00  0.00  0.51  0.78  0.53  0.06  0.01  0.00      0      0    347
 2012 239    87    19   6.0     1  0.07    34     1     0    18     0    35     0   0.0 0.000   144 0.000 0.000 0.000 0.000 0.000   0.00   0.00 196.1  0.00  0.00  0.54  0.78  0.54  0.06  0.01  0.00      0      0    365
 2012 240    88    20   6.0     1  0.08    39     1     0    20     0    39     0   0.0 0.000   154 0.000 0.000 0.000 0.000 0.000   0.00   0.00 194.5  0.00  0.00  0.57  0.78  0.54  0.07  0.01  0.00      0      0    383
