,EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,DAP,L#SD,GSTD,LAID,LWAD,SWAD,GWAD,RWAD,EWAD,CWAD,G#AD,GWGD,HIAD,T#AD,WSPD,WSGD,EWSD,NSTD,KSTD,LN%D,SH%D,SLAD,CHTD,CWID,RDPD,RL1D,RL2D,RL3D,RL4D,RL5D,SNW0C,SNW1C,DTTC
1,CRDA1201,RICER048,1,1,2012-08-07,68,0,0,0,0,1,1,0,1,0,1,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,19
2,CRDA1201,RICER048,1,1,2012-08-08,69,1,0,0,0,1,1,0,1,0,1,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,36
3,CRDA1201,RICER048,1,1,2012-08-09,70,2,0,0,0,1,1,0,1,0,1,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,54
4,CRDA1201,RICER048,1,1,2012-08-10,71,3,0,0,0,1,1,0,1,0,1,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,72
5,CRDA1201,RICER048,1,1,2012-08-11,72,4,1,1,0.01,2,1,0,1,0,2,0,0,0,60,0,0,0,0,0,0,0,288.3,0,0,0.08,0.76,0.5,0,0,0,0,0,91
6,CRDA1201,RICER048,1,1,2012-08-12,73,5,1,1,0.01,3,1,0,1,0,4,0,0,0,60,0,0,0,0,0,0,0,245.3,0,0,0.08,0.76,0.5,0,0,0,0,0,110
7,CRDA1201,RICER048,1,1,2012-08-13,74,6,1,1,0.01,4,1,0,1,0,5,0,0,0,60,0,0,0,0,0,0,0,226.9,0,0,0.11,0.76,0.5,0,0,0,0,0,128
8,CRDA1201,RICER048,1,1,2012-08-14,75,7,2,1,0.01,6,1,0,2,0,6,0,0,0,60,0,0,0,0,0,0,0,215.9,0,0,0.14,0.76,0.5,0,0,0,0,0,146
9,CRDA1201,RICER048,1,1,2012-08-15,76,8,2,1,0.01,7,1,0,2,0,8,0,0,0,60,0,0,0,0,0,0,0,208.7,0,0,0.17,0.76,0.5,0,0,0,0,0,164
10,CRDA1201,RICER048,1,1,2012-08-16,77,9,3,1,0.02,9,1,0,3,0,9,0,0,0,60,0,0,0,0,0,0,0,203.5,0,0,0.21,0.76,0.5,0,0,0,0,0,182
11,CRDA1201,RICER048,1,1,2012-08-17,78,10,3,1,0.02,10,1,0,3,0,11,0,0,0,60,0,0,0,0,0,0,0,200,0,0,0.24,0.75,0.5,0.01,0,0,0,0,199
12,CRDA1201,RICER048,1,1,2012-08-18,79,11,3,1,0.02,12,1,0,5,0,13,0,0,0,60,0,0,0,0,0,0,0,197.1,0,0,0.27,0.75,0.5,0.01,0,0,0,0,217
13,CRDA1201,RICER048,1,1,2012-08-19,80,12,4,1,0.03,15,1,0,6,0,15,0,0,0,60,0,0,0,0,0,0,0,194.9,0,0,0.3,0.76,0.51,0.02,0,0,0,0,235
14,CRDA1201,RICER048,1,1,2012-08-20,81,13,4,1,0.03,17,1,0,8,0,17,0,0,0,60,0,0,0,0,0,0,0,193.1,0,0,0.34,0.76,0.51,0.02,0,0,0,0,254
