,EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,PRED,DAYLD,TWLD,SRAD,PARD,CLDD,TMXD,TMND,TAVD,TDYD,TDWD,TGAD,TGRD,WDSD,CO2D,VPDF,VPD,OZON7,WDATE
1,CRDA1201,RICER048,1,1,2012-06-01,1,4.5,12,12.9,16.2,32.4,0.4,36.3,22.6,29.2,31.4,18.5,29.2,31.4,85,393.6,0,0,NA,2012-06-01
2,CRDA1201,RICER048,1,1,2012-06-02,2,0,12,12.9,24.1,48.2,0.1,37.3,24.3,30.5,32.6,18.1,30.5,32.6,72,393.6,0,0,NA,2012-06-02
3,CRDA1201,RICER048,1,1,2012-06-03,3,0,12,12.9,23.3,46.6,0.13,38.2,24.8,31.2,33.4,16.2,31.2,33.4,62,393.6,0,0,NA,2012-06-03
4,CRDA1201,RICER048,1,1,2012-06-04,4,0,12,12.9,22.7,45.4,0.15,37.4,26.3,31.6,33.4,18.2,31.6,33.4,69,393.6,0,0,NA,2012-06-04
5,CRDA1201,RICER048,1,1,2012-06-05,5,0,12,12.9,23.3,46.6,0.13,39.4,24.9,31.8,34.2,16.6,31.8,34.2,67,393.6,0,0,NA,2012-06-05
6,CRDA1201,RICER048,1,1,2012-06-06,6,0,12,12.9,23.4,46.8,0.12,38.8,25.8,32,34.1,18.1,32,34.1,69,393.6,0,0,NA,2012-06-06
7,CRDA1201,RICER048,1,1,2012-06-07,7,0.5,12,12.9,24.3,48.6,0.09,39.5,26.7,32.8,34.9,18.8,32.8,34.9,70,393.6,0,0,NA,2012-06-07
8,CRDA1201,RICER048,1,1,2012-06-08,8,0,12,12.9,22.1,44.2,0.17,39.5,26.8,32.9,34.9,16,32.9,34.9,109,393.6,0,0,NA,2012-06-08
9,CRDA1201,RICER048,1,1,2012-06-09,9,0,12,12.9,21.1,42.2,0.21,37.7,27.9,32.6,34.2,18.2,32.6,34.2,89,393.6,0,0,NA,2012-06-09
10,CRDA1201,RICER048,1,1,2012-06-10,10,4.5,12,12.9,22.1,44.2,0.17,38,28,32.8,34.4,18.7,32.8,34.4,90,393.6,0,0,NA,2012-06-10
11,CRDA1201,RICER048,1,1,2012-06-11,11,0,12,12.9,24.2,48.4,0.09,38.4,21.6,29.6,32.4,13.9,29.6,32.4,103,393.6,0,0,NA,2012-06-11
12,CRDA1201,RICER048,1,1,2012-06-12,12,0,12,12.9,25,50,0.06,38.7,25.4,31.8,33.9,15.7,31.8,33.9,55,393.6,0,0,NA,2012-06-12
13,CRDA1201,RICER048,1,1,2012-06-13,13,0,12,12.9,23.7,47.4,0.11,39.4,28.4,33.7,35.5,16.7,33.7,35.5,79,393.6,0,0,NA,2012-06-13
14,CRDA1201,RICER048,1,1,2012-06-14,14,0,12,12.9,23.9,47.8,0.1,39.8,27.4,33.3,35.3,15.4,33.3,35.3,98,393.6,0,0,NA,2012-06-14
15,CRDA1201,RICER048,1,1,2012-06-15,15,0,12,12.9,25.1,50.2,0.06,39.9,25.5,32.4,34.7,9.7,32.4,34.7,75,393.8,0,0,NA,2012-06-15
