DB,Cultivar,GY_Kg_H_,Year,LON,LAT,LONs,LATs,ELEV,sand,silt,clay,BULK,COARSE,OrganicCarbon,N,PH,No_DB1,Region,SLLL,SDUL,SSAT,SSKS
DB1,N4,732,2012,-15.84,13.96,-15.83972222,13.95972222,0.02325,0.878884028,0.05268764,0.068437645,1.686861296,0.056074148,0.627728023,6.626835769,5.831110677,1,6,0.045650566,0.090840565,0.422911935,6.11
DB1,N4,251,2013,-15.84,13.96,-15.83972222,13.95972222,0.02325,0.878884028,0.05268764,0.068437645,1.686861296,0.056074148,0.627728023,6.626835769,5.831110677,2,6,0.045650566,0.090840565,0.422911935,6.11
DB1,N4,2043,2012,-14.95,12.86,-14.94972222,12.85972222,0.017132716,0.531603071,0.240671508,0.227556332,1.485498635,0.129695324,1.723631282,10.14968305,5.656130651,3,3,0.155771167,0.267900738,0.44929442,0.43
DB1,N4,1206,2013,-14.95,12.86,-14.94972222,12.85972222,0.017132716,0.531603071,0.240671508,0.227556332,1.485498635,0.129695324,1.723631282,10.14968305,5.656130651,4,3,0.155771167,0.267900738,0.44929442,0.43
DB1,N4,1484,2014,-14.95,12.86,-14.94972222,12.85972222,0.017132716,0.531603071,0.240671508,0.227556332,1.485498635,0.129695324,1.723631282,10.14968305,5.656130651,5,3,0.155771167,0.267900738,0.44929442,0.43
DB1,N4,1313,2014,-14.95,12.86,-14.94972222,12.85972222,0.017132716,0.531603071,0.240671508,0.227556332,1.485498635,0.129695324,1.723631282,10.14968305,5.656130651,6,3,0.155771167,0.267900738,0.44929442,0.43
DB1,N4,1518,2012,-15.59,12.83,-15.58972222,12.82972222,0.044496914,0.544406158,0.223012322,0.221431938,1.441403615,0.117564009,1.117378905,9.735230987,5.436866957,7,2,0.145527252,0.25111394,0.426219815,0.43
DB1,N4,4123,2013,-15.59,12.83,-15.58972222,12.82972222,0.044496914,0.544406158,0.223012322,0.221431938,1.441403615,0.117564009,1.117378905,9.735230987,5.436866957,8,2,0.145527252,0.25111394,0.426219815,0.43
DB1,N4,2744,2013,-15.59,12.83,-15.58972222,12.82972222,0.044496914,0.544406158,0.223012322,0.221431938,1.441403615,0.117564009,1.117378905,9.735230987,5.436866957,9,2,0.145527252,0.25111394,0.426219815,0.43
DB1,N4,1561,2013,-13.91,13.83,-13.90972222,13.82972222,0.022151235,0.549126166,0.194604428,0.256144522,1.585149504,0.082587127,0.765819538,8.16754686,6.182304756,10,5,0.161558246,0.261695439,0.412852557,0.43
