DB,Cultivar,GY_Kg_H_,GYDSSAT,Year,LON,LAT,Sand,Silt,Clay,BULK,COARSE,OrganicCarbon,N,PH,SLLL,SDUL,SSAT,SSKS,RAD,TMIN,TMAX,RAIN,RHUM,WIND,RADstd,TMINstd,TMAXstd,RAINstd,RHUMstd,WINDstd,RADdx,TMINdx,TMAXdx,RAINdx,RHUMdx,WINDdx
DB1,N4,732,1970,2012,-15.84,13.96,0.861,0.042,0.096,1.7,0.72,0.44,0.45,5.5,0.056030804,0.10046658,0.40133022,6.11,24.1052803738318,23.6297663551402,33.792523364486,3.64233644859813,70.0881775700935,2.11028037383178,1.71771867101646,1.20504317480122,4.14534018458442,4.83501432567303,17.6533624441165,0.864928511191625,-0.0122065727699531,-0.0195305164319249,-0.043943661971831,-7.92271829779454e-17,0.124084507042254,4.69483568075014e-05
DB1,N4,251,1890,2013,-15.84,13.96,0.861,0.042,0.096,1.7,0.72,0.44,0.45,5.5,0.056030804,0.10046658,0.40133022,6.11,24.2205140186916,23.291214953271,34.0478971962617,3.44705607476636,67.874953271028,2.19121495327103,1.76033693352178,1.70295474249512,4.06932539525661,4.87878248363897,17.6949577112115,0.898288628793897,-0.0298591549295775,0.0125821596244131,-0.0117840375586855,-3.33588138854507e-17,0.0985915492957746,-0.00615023474178405
DB1,N4,2043,1980,2012,-14.95,12.86,0.473,0.27,0.258,1.49,1.52,1.3,1.13,5.6,0.162521538,0.276340474,0.420815173,0.43,23.9048598130841,23.6638317757009,32.4626168224299,5.38546728971963,75.8246728971963,1.9803738317757,1.69623934470571,1.07918996301048,4.08897598128068,6.17808344382229,16.9734776713171,0.786443143107102,-0.00380281690140844,-0.0203286384976526,-0.037887323943662,1.66794069427254e-17,0.132065727699531,-0.00610328638497652
DB1,N4,1206,1940,2013,-14.95,12.86,0.473,0.27,0.258,1.49,1.52,1.3,1.13,5.6,0.162521538,0.276340474,0.420815173,0.43,23.9389252336449,23.3855140186916,32.6160747663551,5.06453271028037,73.8245794392523,1.95869158878505,1.55644963271302,1.65604185248243,3.9900954268677,6.49350188126743,16.6240211843805,0.788948410592737,-0.0282629107981221,-0.00103286384976527,-0.0316431924882629,1.00076441656352e-16,0.170469483568075,-0.00563380281690139
DB1,N4,1398.5,1970,2014,-14.95,12.86,0.473,0.27,0.258,1.49,1.52,1.3,1.13,5.6,0.162521538,0.276340474,0.420815173,0.43,23.8227570093458,23.5577102803738,32.597476635514,5.34042056074766,75.3622897196262,1.92915887850467,1.62783054072494,1.4501322232694,3.60695040932365,12.6201298443038,15.7910289171759,0.732393492707464,-0.0307981220657277,-0.0141784037558685,-0.0445070422535211,2.66870511083606e-16,0.140845070422535,-0.00507042253521127
DB1,N4,1518,1910,2012,-15.59,12.83,0.464,0.287,0.249,1.59,1.6,0.69,0.68,6,0.153839419,0.267711114,0.408623751,1.32,23.8791121495327,23.5670093457944,32.2973831775701,5.61560747663551,76.9241121495327,1.86233644859813,1.68896741978935,0.968811977526893,4.0272329615586,6.76775115769825,15.8703624598521,0.686842922963385,-0.00413145539906103,-0.0175586854460094,-0.0433333333333333,0,0.144319248826291,-0.00262910798122065
DB1,N4,3433.5,1830,2013,-15.59,12.83,0.464,0.287,0.249,1.59,1.6,0.69,0.68,6,0.153839419,0.267711114,0.408623751,1.32,23.9097196261682,23.2914018691589,32.4985046728972,5.04742990654206,75.1152336448598,1.86981308411215,1.56088361753858,1.52126272519165,3.86278981713212,6.73005161733988,15.2631916527547,0.690691266046069,-0.0284037558685446,0.0036150234741784,-0.0267136150234742,6.67176277709014e-17,0.15962441314554,-0.00629107981220657
DB1,N4,1250.66666666667,1760,2013,-13.91,13.83,0.546,0.174,0.281,1.55,0.72,0.78,0.41,6.3,0.172815072,0.270576446,0.404441902,0.43,24.2073364485981,24.2068691588785,34.962476635514,3.12822429906542,63.3240186915888,2.17724299065421,1.7703059094494,2.23992748283067,4.56236553593518,4.702118354516,21.3050079351551,0.906103128592697,-0.0319718309859155,-0.00535211267605634,-0.0191549295774648,-1.33435255541803e-16,0.135305164319249,-0.00521126760563379
DB1,N4,751.366666666667,1700,2014,-13.91,13.83,0.546,0.174,0.281,1.55,0.72,0.78,0.41,6.3,0.172815072,0.270576446,0.404441902,0.43,24.0881775700935,24.4026635514019,34.9967757009346,3.07644859813084,64.5069626168224,2.16490654205607,1.67813247034885,2.2482261988511,4.24203007209429,4.61363568963655,20.1123111721165,0.906374784203846,-0.0336150234741784,-0.0214553990610329,-0.0450234741784037,4.16985173568134e-17,0.167840375586854,-0.00389671361502348
DB2,N4,3150,1870,2022,-14.24,13.86,0.472,0.271,0.257,1.03,1.36,2.92,1.84,5.3,0.171218073,0.291521834,0.453775618,0.43,24.204953271028,23.6676635514019,33.2242990654206,4.33042056074766,69.9996261682243,2.14214953271028,1.85445428685409,2.72950702506623,4.72740002630743,8.13524340559689,21.171779490821,0.88121238298152,-0.0337089201877934,-0.0231924882629108,-0.0510328638497652,0,0.195117370892019,-0.00544600938967139
