LON;LAT;ELEV;sand;silt;clay;BULK;COARSE;OrganicCarbon;N;PH;No.DB1;Region;SLLL;SDUL;SSAT;SSKS
-16.72773504;12.36307692;0.017646154;0.402418406;0.269987733;0.273118367;1.074434055;0.175293224;3.918200443;14.91589175;5.250890141;1;1;0.198756999;0.34416328;0.543336403;0.23
-16.72960826;12.43876306;0.004410256;0.364241518;0.216753312;0.239100354;0.757289131;0.123233809;2.977519378;15.48454495;4.493364777;2;1;0.17238476;0.324958122;0.524291723;1.32
-16.72911798;12.52277778;0.003515464;0.33661868;0.194491668;0.207156901;0.67335994;0.101902822;3.091549917;12.86439328;3.937562994;3;1;0.156794436;0.322553116;0.541522281;1.32
-16.72870674;12.61003415;0.004811475;0.406902481;0.199812405;0.244663155;0.755572445;0.128373889;3.566131196;15.79848418;4.80445944;4;1;0.181697358;0.329554581;0.538227759;1.32
-16.72972222;12.68972222;0.004462963;0.467033088;0.240871888;0.291248588;0.867418675;0.144298167;4.528891238;22.98344422;5.756023143;5;1;0.215197517;0.350114831;0.540090884;0.43
-16.72972222;12.77972222;0.00237963;0.455814582;0.236146431;0.281368352;0.831876729;0.154676847;4.314133089;22.31622563;5.673169009;6;1;0.208113221;0.345420585;0.540484834;0.43
-16.72972222;12.85972222;0.003759259;0.486180462;0.214066536;0.261085908;0.819334914;0.155171281;4.508228149;22.3561534;5.672070662;7;1;0.201351611;0.338815698;0.548273696;0.43
-16.72972222;12.94972222;0.011453704;0.553974364;0.206656897;0.239312802;1.269492666;0.149551891;4.3558766;22.12972034;5.759088564;8;1;0.191653887;0.31940686;0.536114683;0.43
-16.72972222;13.02972222;0.008950617;0.589992473;0.20174604;0.210051217;1.223368506;0.127266035;3.5585667;14.62424237;5.704923863;9;1;0.168816986;0.286629929;0.511786171;0.43
-16.63972222;12.43972222;0.009348765;0.353838609;0.33385272;0.31317426;0.997301988;0.158301997;3.235541131;16.32036731;5.443720462;10;1;0.21157787;0.352660095;0.519747842;0.23
-16.63972222;12.51972222;0.008308642;0.40878617;0.29033679;0.300822835;1.018940375;0.156278943;3.09884254;17.07302654;5.495875466;11;1;0.205813637;0.339779752;0.505747589;0.23
