No.DB1;LON;LAT;ELEV;sand;silt;clay;BULK;COARSE;OrganicCarbon;N;PH;Region;SLLL;SDUL;SSAT;clust4Org;clust3Org;clust3
17;-16.63972222;13.02972222;0.016083333;0.611122816;0.183426842;0.205170553;1.361421378;0.152110021;1.978147749;13.49146617;5.431708201;1;0.147025074;0.247496744;0.451779808;4;3;2
18;-16.63972222;13.11972222;0.023462963;0.52830642;0.262414297;0.209201859;1.382565225;0.153815019;1.621764722;15.28697078;5.575675922;1;0.144429351;0.258091571;0.447996187;4;3;2
27;-16.55972222;13.11972222;0.029688272;0.527143884;0.237521685;0.235147887;1.396417094;0.131958576;2.182069411;14.40861484;5.617347432;1;0.164945326;0.280699688;0.46541086;4;3;2
33;-16.47972222;12.85972222;0.02129321;0.48663062;0.26369321;0.249773379;1.239749762;0.170248825;2.029993818;12.7071111;5.459125958;1;0.170760134;0.291451332;0.464054873;4;3;2
45;-16.38972222;13.11972222;0.02842284;0.456246126;0.282130924;0.261465993;1.414488889;0.14617288;2.077899324;14.26547996;5.381376217;1;0.177157034;0.302405;0.469168881;4;3;2
47;-16.30972222;12.51972222;0.021018519;0.387262863;0.31924258;0.293626887;1.235427805;0.151856743;2.079881956;15.70584431;5.365224027;1;0.193374035;0.326428683;0.477854588;4;3;2
50;-16.30972222;12.77972222;0.02412037;0.526554028;0.266583673;0.206855424;1.342682667;0.156973209;1.791619922;12.40771949;5.413405825;1;0.145099089;0.260712878;0.455139299;4;3;2
51;-16.30972222;12.85972222;0.025506173;0.541734749;0.260843812;0.197593252;1.336534068;0.130856767;1.929051528;12.92932942;5.395510571;1;0.14174025;0.256350311;0.460043921;4;3;2
54;-16.30972222;13.11972222;0.03270679;0.467734775;0.256106727;0.276205307;1.406277537;0.124984401;2.186641432;10.94455423;5.608538913;1;0.186258698;0.308410564;0.468985883;4;3;2
58;-16.21972222;12.77972222;0.035188272;0.510797584;0.293073807;0.196067061;1.388485204;0.14064649;1.703903812;11.1509416;5.482897751;1;0.138043942;0.257235896;0.454847725;4;3;2
59;-16.21972222;12.85972222;0.036654321;0.484911615;0.314498917;0.200880301;1.322426574;0.139343549;2.161549645;12.23757538;5.498551747;1;0.145786813;0.2736275;0.476581257;4;3;2
60;-16.21972222;12.94972222;0.027944444;0.497648462;0.300503099;0.202108662;1.402873932;0.133396216;1.852080764;13.85054666;5.502986231;1;0.143011869;0.265476529;0.461825662;4;3;2
61;-16.21972222;13.02972222;0.022376543;0.43301604;0.271914799;0.295129994;1.400566628;0.146252617;1.832478674;12.87422107;5.336073199;1;0.192802143;0.3165839;0.461607235;4;3;2
65;-16.13972222;12.68972222;0.028401235;0.513188474;0.272165261;0.21470554;1.412167608;0.151396095;1.83807055;10.12683336;5.499681083;1;0.149853665;0.267715732;0.45764377;4;3;2
66;-16.13972222;12.77972222;0.037935185;0.496731917;0.261501334;0.24180816;1.403930255;0.129846823;1.870020285;12.90230424;5.541469522;1;0.164888625;0.283384818;0.45777963;4;3;2
