DOY;Y
1;01/01/2012
2;01/02/2012
3;01/03/2012
4;01/04/2012
5;01/05/2012
6;01/06/2012
7;01/07/2012
8;01/08/2012
9;01/09/2012
10;01/10/2012
11;01/11/2012
12;01/12/2012
13;01/13/2012
14;01/14/2012
15;01/15/2012
16;01/16/2012
17;01/17/2012
18;01/18/2012
19;01/19/2012
20;01/20/2012
21;01/21/2012
22;01/22/2012
23;01/23/2012
24;01/24/2012
25;01/25/2012
26;01/26/2012
27;01/27/2012
28;01/28/2012
29;01/29/2012
30;01/30/2012
31;01/31/2012
32;02/01/2012
33;02/02/2012
34;02/03/2012
35;02/04/2012
36;02/05/2012
37;02/06/2012
38;02/07/2012
39;02/08/2012
40;02/09/2012
41;02/10/2012
42;02/11/2012
43;02/12/2012
44;02/13/2012
45;02/14/2012
46;02/15/2012
47;02/16/2012
48;02/17/2012
49;02/18/2012
50;02/19/2012
51;02/20/2012
52;02/21/2012
53;02/22/2012
54;02/23/2012
55;02/24/2012
56;02/25/2012
57;02/26/2012
58;02/27/2012
59;02/28/2012
60;02/29/2012
61;03/01/2012
62;03/02/2012
63;03/03/2012
64;03/04/2012
65;03/05/2012
66;03/06/2012
67;03/07/2012
68;03/08/2012
69;03/09/2012
70;03/10/2012
71;03/11/2012
72;03/12/2012
73;03/13/2012
74;03/14/2012
75;03/15/2012
76;03/16/2012
77;03/17/2012
78;03/18/2012
79;03/19/2012
80;03/20/2012
81;03/21/2012
82;03/22/2012
83;03/23/2012
84;03/24/2012
85;03/25/2012
86;03/26/2012
87;03/27/2012
88;03/28/2012
89;03/29/2012
90;03/30/2012
91;03/31/2012
92;04/01/2012
93;04/02/2012
94;04/03/2012
95;04/04/2012
96;04/05/2012
97;04/06/2012
98;04/07/2012
99;04/08/2012
100;04/09/2012
101;04/10/2012
102;04/11/2012
103;04/12/2012
104;04/13/2012
105;04/14/2012
106;04/15/2012
107;04/16/2012
108;04/17/2012
109;04/18/2012
110;04/19/2012
111;04/20/2012
112;04/21/2012
113;04/22/2012
114;04/23/2012
115;04/24/2012
116;04/25/2012
117;04/26/2012
118;04/27/2012
119;04/28/2012
120;04/29/2012
121;04/30/2012
122;05/01/2012
123;05/02/2012
124;05/03/2012
125;05/04/2012
126;05/05/2012
127;05/06/2012
128;05/07/2012
129;05/08/2012
130;05/09/2012
131;05/10/2012
132;05/11/2012
133;05/12/2012
134;05/13/2012
135;05/14/2012
136;05/15/2012
137;05/16/2012
138;05/17/2012
139;05/18/2012
140;05/19/2012
141;05/20/2012
142;05/21/2012
143;05/22/2012
144;05/23/2012
145;05/24/2012
146;05/25/2012
147;05/26/2012
148;05/27/2012
149;05/28/2012
150;05/29/2012
151;05/30/2012
152;05/31/2012
153;06/01/2012
154;06/02/2012
155;06/03/2012
156;06/04/2012
157;06/05/2012
158;06/06/2012
159;06/07/2012
160;06/08/2012
161;06/09/2012
162;06/10/2012
163;06/11/2012
164;06/12/2012
165;06/13/2012
166;06/14/2012
167;06/15/2012
168;06/16/2012
169;06/17/2012
170;06/18/2012
171;06/19/2012
172;06/20/2012
173;06/21/2012
174;06/22/2012
175;06/23/2012
176;06/24/2012
177;06/25/2012
178;06/26/2012
179;06/27/2012
180;06/28/2012
181;06/29/2012
182;06/30/2012
183;07/01/2012
184;07/02/2012
185;07/03/2012
186;07/04/2012
187;07/05/2012
188;07/06/2012
189;07/07/2012
190;07/08/2012
191;07/09/2012
192;07/10/2012
193;07/11/2012
194;07/12/2012
195;07/13/2012
196;07/14/2012
197;07/15/2012
198;07/16/2012
199;07/17/2012
200;07/18/2012
201;07/19/2012
202;07/20/2012
203;07/21/2012
204;07/22/2012
205;07/23/2012
206;07/24/2012
207;07/25/2012
208;07/26/2012
209;07/27/2012
210;07/28/2012
211;07/29/2012
212;07/30/2012
213;07/31/2012
214;08/01/2012
215;08/02/2012
216;08/03/2012
217;08/04/2012
218;08/05/2012
219;08/06/2012
220;08/07/2012
221;08/08/2012
222;08/09/2012
223;08/10/2012
224;08/11/2012
225;08/12/2012
226;08/13/2012
227;08/14/2012
228;08/15/2012
229;08/16/2012
230;08/17/2012
231;08/18/2012
232;08/19/2012
233;08/20/2012
234;08/21/2012
235;08/22/2012
236;08/23/2012
237;08/24/2012
238;08/25/2012
239;08/26/2012
240;08/27/2012
241;08/28/2012
242;08/29/2012
243;08/30/2012
244;08/31/2012
245;09/01/2012
246;09/02/2012
247;09/03/2012
248;09/04/2012
249;09/05/2012
250;09/06/2012
251;09/07/2012
252;09/08/2012
253;09/09/2012
254;09/10/2012
255;09/11/2012
256;09/12/2012
257;09/13/2012
258;09/14/2012
259;09/15/2012
260;09/16/2012
261;09/17/2012
262;09/18/2012
263;09/19/2012
264;09/20/2012
265;09/21/2012
266;09/22/2012
267;09/23/2012
268;09/24/2012
269;09/25/2012
270;09/26/2012
271;09/27/2012
272;09/28/2012
273;09/29/2012
274;09/30/2012
275;10/01/2012
276;10/02/2012
277;10/03/2012
278;10/04/2012
279;10/05/2012
280;10/06/2012
281;10/07/2012
282;10/08/2012
283;10/09/2012
284;10/10/2012
285;10/11/2012
286;10/12/2012
287;10/13/2012
288;10/14/2012
289;10/15/2012
290;10/16/2012
291;10/17/2012
292;10/18/2012
293;10/19/2012
294;10/20/2012
295;10/21/2012
296;10/22/2012
297;10/23/2012
298;10/24/2012
299;10/25/2012
300;10/26/2012
301;10/27/2012
302;10/28/2012
303;10/29/2012
304;10/30/2012
305;10/31/2012
306;11/01/2012
307;11/02/2012
308;11/03/2012
309;11/04/2012
310;11/05/2012
311;11/06/2012
312;11/07/2012
313;11/08/2012
314;11/09/2012
315;11/10/2012
316;11/11/2012
317;11/12/2012
318;11/13/2012
319;11/14/2012
320;11/15/2012
321;11/16/2012
322;11/17/2012
323;11/18/2012
324;11/19/2012
325;11/20/2012
326;11/21/2012
327;11/22/2012
328;11/23/2012
329;11/24/2012
330;11/25/2012
331;11/26/2012
332;11/27/2012
333;11/28/2012
334;11/29/2012
335;11/30/2012
336;12/01/2012
337;12/02/2012
338;12/03/2012
339;12/04/2012
340;12/05/2012
341;12/06/2012
342;12/07/2012
343;12/08/2012
344;12/09/2012
345;12/10/2012
346;12/11/2012
347;12/12/2012
348;12/13/2012
349;12/14/2012
350;12/15/2012
351;12/16/2012
352;12/17/2012
353;12/18/2012
354;12/19/2012
355;12/20/2012
356;12/21/2012
357;12/22/2012
358;12/23/2012
359;12/24/2012
360;12/25/2012
361;12/26/2012
362;12/27/2012
363;12/28/2012
364;12/29/2012
365;12/30/2012
366;12/31/2012
