Var1,LON,LAT,YEAR,MM,DD,DOY,YYYYMMDD,ALLSKY_SFC_SW_DWN,T2M_MAX,T2M_MIN,T2M,QV2M,RH2M,PRECTOTCORR,WS2M,WD2M,GWETTOP,GWETROOT,GWETPROF
1,-15.58972222,12.82972222,2013,1,1,1,2013-01-01,16.89,28.86,11.69,19.97,6.47,46.12,0,2.97,60.56,0.62,0.63,0.81
2,-15.58972222,12.82972222,2013,1,2,2,2013-01-02,20.84,29.03,12.2,20.9,6.41,43.94,0,2.09,64.06,0.62,0.63,0.81
3,-15.58972222,12.82972222,2013,1,3,3,2013-01-03,18.76,29.94,13.56,21.98,7.14,45.5,0,2.23,128.38,0.62,0.63,0.81
4,-15.58972222,12.82972222,2013,1,4,4,2013-01-04,20.02,30.49,14.77,21.51,6.96,45.81,0,2.52,53.69,0.62,0.63,0.81
5,-15.58972222,12.82972222,2013,1,5,5,2013-01-05,16.62,26.92,13.37,19.44,6.04,44.62,0,2.95,61.38,0.62,0.63,0.81
6,-15.58972222,12.82972222,2013,1,6,6,2013-01-06,17.32,26.68,13.71,19.68,6.41,46.75,0,2.66,63.56,0.62,0.63,0.81
7,-15.58972222,12.82972222,2013,1,7,7,2013-01-07,20.57,29.26,12.62,20.8,6.9,48.38,0,2.2,70.38,0.62,0.63,0.81
8,-15.58972222,12.82972222,2013,1,8,8,2013-01-08,19.84,29.81,11.8,20.64,6.41,44.56,0,2.14,133.69,0.62,0.62,0.8
9,-15.58972222,12.82972222,2013,1,9,9,2013-01-09,18.28,30.69,14.41,22.82,7.75,47.06,0,1.76,101.44,0.62,0.62,0.8
10,-15.58972222,12.82972222,2013,1,10,10,2013-01-10,17.27,31.4,16.69,23.95,8.73,49.44,0,2.07,63.19,0.62,0.62,0.8
11,-15.58972222,12.82972222,2013,1,11,11,2013-01-11,18.28,32.16,17.23,24.15,8.06,45.25,0,2.4,51.94,0.62,0.62,0.8
12,-15.58972222,12.82972222,2013,1,12,12,2013-01-12,18.44,31.83,17.63,23.84,7.69,43.06,0,2.78,54.75,0.62,0.62,0.8
13,-15.58972222,12.82972222,2013,1,13,13,2013-01-13,21.28,33.06,17.18,24.31,7.51,41.06,0,2.95,64.31,0.62,0.62,0.8
14,-15.58972222,12.82972222,2013,1,14,14,2013-01-14,18.32,32.94,15.38,24.15,7.57,42.75,0,2.05,116.25,0.61,0.62,0.8
15,-15.58972222,12.82972222,2013,1,15,15,2013-01-15,22.15,33.06,14.61,23.02,6.65,40.62,0,2.62,59.19,0.61,0.62,0.8
16,-15.58972222,12.82972222,2013,1,16,16,2013-01-16,22.48,31.35,13.48,21.87,5.86,37.81,0,3.01,70.19,0.61,0.62,0.8
17,-15.58972222,12.82972222,2013,1,17,17,2013-01-17,21.67,31.31,14.05,21.63,5.74,37.5,0,3.09,57.94,0.61,0.62,0.8
18,-15.58972222,12.82972222,2013,1,18,18,2013-01-18,21.44,31.73,13.6,21.66,5.62,37,0,2.61,40.31,0.6,0.62,0.8
19,-15.58972222,12.82972222,2013,1,19,19,2013-01-19,21.37,32.25,13.12,22.19,5.37,34.75,0,2.38,111.88,0.6,0.61,0.8
20,-15.58972222,12.82972222,2013,1,20,20,2013-01-20,18.64,31.58,13.26,21.87,5.62,36.75,0,1.98,142.44,0.6,0.61,0.8
21,-15.58972222,12.82972222,2013,1,21,21,2013-01-21,21.43,32.59,13.95,22.73,6.59,41.94,0,1.83,169.5,0.6,0.61,0.8
22,-15.58972222,12.82972222,2013,1,22,22,2013-01-22,17.9,31.4,16.2,23.23,8,47.88,0,1.93,198.88,0.59,0.61,0.79
23,-15.58972222,12.82972222,2013,1,23,23,2013-01-23,17.82,31.27,17.55,23.76,8.18,48,0,1.82,207.81,0.59,0.61,0.79
24,-15.58972222,12.82972222,2013,1,24,24,2013-01-24,18.44,32.8,16.85,23.94,7.87,45.25,0,2.3,159.75,0.59,0.6,0.79
25,-15.58972222,12.82972222,2013,1,25,25,2013-01-25,8.28,30.54,18.67,23.39,7.75,45.5,0.43,3.08,28.75,0.59,0.6,0.79
26,-15.58972222,12.82972222,2013,1,26,26,2013-01-26,4.56,30.01,18.11,23.59,9.64,55.31,0.69,1.82,31.62,0.6,0.6,0.79
27,-15.58972222,12.82972222,2013,1,27,27,2013-01-27,18.69,31.73,16.4,23.98,7.69,44.69,0,1.75,111.5,0.59,0.6,0.79
28,-15.58972222,12.82972222,2013,1,28,28,2013-01-28,22.19,32.54,15.04,23.3,7.08,43.06,0,2.38,89,0.59,0.6,0.79
29,-15.58972222,12.82972222,2013,1,29,29,2013-01-29,20.94,32.98,14.54,23.48,7.2,41.88,0,2.51,48.88,0.59,0.6,0.79
30,-15.58972222,12.82972222,2013,1,30,30,2013-01-30,20.38,33.5,16.46,24.64,7.87,42.81,0,2.71,42.38,0.59,0.6,0.78
31,-15.58972222,12.82972222,2013,1,31,31,2013-01-31,22.02,34.94,17.94,26.2,8.36,41.69,0,2.44,111.69,0.59,0.6,0.78
32,-15.58972222,12.82972222,2013,2,1,32,2013-02-01,19.78,34.64,18.33,25.6,7.81,40.19,0,2.89,62.69,0.59,0.59,0.78
33,-15.58972222,12.82972222,2013,2,2,33,2013-02-02,21.79,34.23,17.28,25.14,6.9,37.25,0,2.66,67.62,0.59,0.59,0.78
34,-15.58972222,12.82972222,2013,2,3,34,2013-02-03,20.51,33.27,16.32,24.44,6.47,36.88,0,2.11,139.19,0.58,0.59,0.78
35,-15.58972222,12.82972222,2013,2,4,35,2013-02-04,20.15,33.23,15.4,24.19,7.39,41.75,0,2.06,121.38,0.58,0.59,0.78
36,-15.58972222,12.82972222,2013,2,5,36,2013-02-05,18.7,33.22,18.69,25.62,9.52,48.12,0,1.29,194.06,0.58,0.59,0.78
37,-15.58972222,12.82972222,2013,2,6,37,2013-02-06,21.74,34.01,18.4,24.58,6.1,33.75,0,3.42,60.06,0.58,0.59,0.77
38,-15.58972222,12.82972222,2013,2,7,38,2013-02-07,20.53,33.41,16.69,25.09,5.98,32.25,0,1.89,63.62,0.58,0.59,0.77
39,-15.58972222,12.82972222,2013,2,8,39,2013-02-08,20.32,32.39,17.14,23.61,6.47,37.06,0,2.15,76.5,0.58,0.59,0.77
40,-15.58972222,12.82972222,2013,2,9,40,2013-02-09,20.69,35.46,15.88,24.59,5.86,33.38,0,2.57,83.44,0.58,0.59,0.77
41,-15.58972222,12.82972222,2013,2,10,41,2013-02-10,22.2,34.05,17.39,24.01,6.77,39.62,0,2.43,185.31,0.57,0.59,0.77
42,-15.58972222,12.82972222,2013,2,11,42,2013-02-11,22.66,34.62,15.7,24.44,8.54,49.12,0,1.89,234,0.57,0.59,0.77
43,-15.58972222,12.82972222,2013,2,12,43,2013-02-12,22.46,35.29,19.13,26.08,12.08,61.88,0,1.77,201.06,0.57,0.59,0.77
44,-15.58972222,12.82972222,2013,2,13,44,2013-02-13,23.45,36.58,19.8,27.34,11.29,55.81,0,1.12,206.69,0.56,0.58,0.77
45,-15.58972222,12.82972222,2013,2,14,45,2013-02-14,24.4,37.3,18.05,27.1,8,40.44,0,1.94,173,0.56,0.58,0.77
46,-15.58972222,12.82972222,2013,2,15,46,2013-02-15,24.02,36.37,17.41,26.23,7.57,39.56,0,1.51,227.88,0.56,0.58,0.77
47,-15.58972222,12.82972222,2013,2,16,47,2013-02-16,22.12,35.21,17.08,25.11,8.24,45.5,0,1.95,241.12,0.55,0.58,0.77
48,-15.58972222,12.82972222,2013,2,17,48,2013-02-17,24.11,35.05,16.4,25.26,7.63,44.56,0,2.02,214.81,0.55,0.58,0.77
49,-15.58972222,12.82972222,2013,2,18,49,2013-02-18,24.04,35.38,17.82,25.75,6.71,36.19,0,1.36,133.44,0.55,0.57,0.77
50,-15.58972222,12.82972222,2013,2,19,50,2013-02-19,24.55,35.33,16.04,24.58,6.77,40.69,0,2.38,183.38,0.55,0.57,0.77
51,-15.58972222,12.82972222,2013,2,20,51,2013-02-20,24.59,35.33,14.34,24.02,6.04,36.75,0,2.66,105.5,0.55,0.57,0.77
52,-15.58972222,12.82972222,2013,2,21,52,2013-02-21,24.87,36.05,14.9,24.79,6.04,34.06,0,2.91,38.06,0.54,0.57,0.77
53,-15.58972222,12.82972222,2013,2,22,53,2013-02-22,23.98,36.61,15.48,25.98,6.23,32.5,0,2.49,111.62,0.54,0.57,0.76
