*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  DEC 29, 2025 16:23:24

*RUN   1        : F1 NE 4                   RICER048 CRDA1201    1
 MODEL          : RICER048 - Rice
 EXPERIMENT     : CRDA1201 WH ESSAI VARIETE DAROU PAKA 2012
 DATA PATH      :
 TREATMENT  1   : F1 NE 4                   RICER048
  
!YR        Days  Days              Leaf  <--------- Dry Weight -----------> Grain Kernl              <------ Stress (0-1) ------>   Leaf  Shell  Spec  <-Canopy->  Root  <-- Root Length Density ---><Senesced Mat>   Phot  
!  and    after after  Leaf  Grow  Area  <------------ kg/Ha ------------->   per  wght  Harv Tillr  <--- Water ---->                Nit   -ing  Leaf  Hght Brdth Depth  <---- cm3/cm3 of soil -----> <--(kg/ha)-->  Therm  
!     DOY start plant   Num Stage Index  Leaf  Stem Grain  Root Panic  Crop    m2    mg  Indx   No.  Phot  Grow  Excs  Nitr Potas     %      %   Area    m     m     m    0-5  5-15 15-30 30-4545-100   Surf   Soil   Days  
@YEAR DOY   DAS   DAP  L#SD  GSTD  LAID  LWAD  SWAD  GWAD  RWAD  EWAD  CWAD  G#AD  GWGD  HIAD  T#AD  WSPD  WSGD  EWSD  NSTD  KSTD   LN%D   SH%D  SLAD  CHTD  CWID  RDPD  RL1D  RL2D  RL3D  RL4D  RL5D  SNW0C  SNW1C   DTTC  
 2012 206    54     0   0.0     0  0.00     1     1     0     1     0     1     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00   0.0  0.00  0.00  0.02  0.00  0.00  0.00  0.00  0.00      0      0     19
 2012 207    55     1   0.0     0  0.00     1     1     0     1     0     1     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00   0.0  0.00  0.00  0.02  0.00  0.00  0.00  0.00  0.00      0      0     38
 2012 208    56     2   0.0     0  0.00     1     1     0     1     0     1     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00   0.0  0.00  0.00  0.02  0.00  0.00  0.00  0.00  0.00      0      0     57
 2012 209    57     3   0.0     0  0.00     1     1     0     1     0     1     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00   0.0  0.00  0.00  0.05  0.00  0.00  0.00  0.00  0.00      0      0     76
 2012 210    58     4   1.0     1  0.00     2     1     0     1     0     2     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 298.6  0.00  0.00  0.07  0.75  0.50  0.00  0.00  0.00      0      0     94
 2012 211    59     5   1.0     1  0.01     3     1     0     1     0     3     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 253.9  0.00  0.00  0.07  0.75  0.50  0.00  0.00  0.00      0      0    112
 2012 212    60     6   1.0     1  0.01     4     1     0     1     0     4     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 233.4  0.00  0.00  0.11  0.75  0.50  0.00  0.00  0.00      0      0    130
 2012 213    61     7   2.0     1  0.01     5     1     0     2     0     5     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 221.5  0.00  0.00  0.14  0.74  0.50  0.00  0.00  0.00      0      0    148
 2012 214    62     8   2.0     1  0.01     6     1     0     2     0     7     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 213.6  0.00  0.00  0.17  0.74  0.50  0.00  0.00  0.00      0      0    166
 2012 215    63     9   2.0     1  0.02     7     1     0     3     0     8     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 208.0  0.00  0.00  0.21  0.74  0.50  0.00  0.00  0.00      0      0    184
 2012 216    64    10   3.0     1  0.02     9     1     0     4     0     9     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 203.8  0.00  0.00  0.24  0.74  0.50  0.00  0.00  0.00      0      0    202
 2012 217    65    11   3.0     1  0.02    10     1     0     5     0    11     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 200.5  0.00  0.00  0.27  0.74  0.50  0.01  0.00  0.00      0      0    220
 2012 218    66    12   3.0     1  0.02    12     1     0     6     0    12     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 197.9  0.00  0.00  0.31  0.74  0.50  0.01  0.00  0.00      0      0    238
 2012 219    67    13   4.0     1  0.03    14     1     0     7     0    14     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 218.0  0.00  0.00  0.34  0.74  0.50  0.01  0.00  0.00      0      0    256
 2012 220    68    14   4.0     1  0.03    16     1     0     8     0    16     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 213.5  0.00  0.00  0.37  0.74  0.50  0.02  0.00  0.00      0      0    274
 2012 221    69    15   4.0     1  0.04    18     1     0     9     0    18     0   0.0 0.000   193 0.000 0.000 0.000 0.000 0.000   0.00   0.00 209.3  0.00  0.00  0.40  0.74  0.50  0.02  0.00  0.00      0      0    292
 2012 222    70    16   4.0     1  0.04    20     1     0    11     0    21     0   0.0 0.000   210 0.000 0.000 0.000 0.000 0.000   0.00   0.00 205.8  0.00  0.00  0.44  0.74  0.51  0.02  0.01  0.00      0      0    311
 2012 223    71    17   5.0     1  0.05    24     1     0    12     0    24     0   0.0 0.000   225 0.000 0.000 0.000 0.000 0.000   0.00   0.00 202.7  0.00  0.00  0.47  0.74  0.51  0.03  0.01  0.00      0      0    329
 2012 224    72    18   5.0     1  0.05    27     1     0    14     0    28     0   0.0 0.000   236 0.000 0.000 0.000 0.000 0.000   0.00   0.00 198.0  0.00  0.00  0.50  0.74  0.51  0.03  0.01  0.00      0      0    347
 2012 225    73    19   5.0     1  0.06    30     1     0    16     0    31     0   0.0 0.000   247 0.000 0.000 0.000 0.000 0.000   0.00   0.00 194.5  0.00  0.00  0.54  0.74  0.51  0.03  0.02  0.00      0      0    365
 2012 226    74    20   5.0     1  0.07    34     1     0    18     0    35     0   0.0 0.000   259 0.000 0.000 0.000 0.000 0.000   0.00   0.00 191.3  0.00  0.00  0.57  0.74  0.51  0.04  0.02  0.01      0      0    383
 2012 227    75    21   6.0     2  0.07    38     6     0    20     0    44     0   0.0 0.000   268 0.000 0.000 0.000 0.000 0.000   0.00   0.00 190.4  0.00  0.00  0.60  0.74  0.51  0.04  0.03  0.01      0      0    401
 2012 228    76    22   6.0     2  0.08    42     9     0    21     0    50     0   0.0 0.000   275 0.000 0.000 0.000 0.000 0.000   0.00   0.00 189.7  0.00  0.00  0.63  0.74  0.51  0.04  0.03  0.01      0      0    419
 2012 229    77    23   6.0     2  0.09    46    12     0    23     0    58     0   0.0 0.000   286 0.000 0.000 0.000 0.000 0.000   0.00   0.00 188.9  0.00  0.00  0.67  0.74  0.51  0.05  0.03  0.02      0      0    437
 2012 230    78    24   6.0     2  0.10    52    16     0    25     0    68     0   0.0 0.000   297 0.000 0.000 0.000 0.000 0.000   0.00   0.00 188.2  0.00  0.00  0.70  0.74  0.51  0.05  0.04  0.02      0      0    455
 2012 231    79    25   7.0     2  0.11    57    21     0    28     0    78     0   0.0 0.000   310 0.000 0.000 0.000 0.000 0.000   0.00   0.00 186.0  0.00  0.00  0.73  0.74  0.51  0.05  0.04  0.02      0      0    472
 2012 232    80    26   7.0     2  0.12    64    27     0    31     0    91     0   0.0 0.000   325 0.000 0.000 0.000 0.000 0.000   0.00   0.00 183.9  0.00  0.00  0.76  0.74  0.52  0.06  0.04  0.03      0      0    490
 2012 233    81    27   7.0     2  0.13    72    33     0    34     0   106     0   0.0 0.000   341 0.000 0.000 0.000 0.000 0.000   0.00   0.00 182.0  0.00  0.00  0.79  0.74  0.52  0.06  0.05  0.03      0      0    508
 2012 234    82    28   7.0     2  0.14    80    40     0    37     0   120     0   0.0 0.000   358 0.000 0.000 0.000 0.000 0.000   0.00   0.00 180.5  0.00  0.00  0.83  0.74  0.52  0.07  0.05  0.04      0      0    526
 2012 235    83    29   7.0     2  0.16    89    48     0    41     0   137     0   0.0 0.000   377 0.000 0.000 0.000 0.000 0.000   0.00   0.00 179.0  0.00  0.00  0.86  0.74  0.52  0.07  0.06  0.04      0      0    544
 2012 236    84    30   8.0     2  0.18   101    57     0    46     0   158     0   0.0 0.000   399 0.000 0.000 0.000 0.000 0.000   0.00   0.00 177.7  0.00  0.00  0.89  0.75  0.53  0.08  0.06  0.05      0      0    562
 2012 237    85    31   8.0     2  0.19   110    65     0    50     0   176     0   0.0 0.000   419 0.000 0.000 0.000 0.000 0.000   0.00   0.00 176.7  0.00  0.00  0.93  0.75  0.53  0.09  0.07  0.06      0      0    580
 2012 238    86    32   8.0     2  0.21   122    75     0    55     0   197     0   0.0 0.000   445 0.000 0.000 0.000 0.000 0.000   0.00   0.00 175.7  0.00  0.00  0.96  0.75  0.54  0.09  0.08  0.06      0      0    598
 2012 239    87    33   8.0     3  0.23   129    94     0    59     0   223     0   0.0 0.000   474 0.000 0.000 0.000 0.000 0.000   0.00   0.00 175.5  0.00  0.00  0.99  0.76  0.54  0.10  0.09  0.07      0      0    616
 2012 240    88    34   9.0     3  0.24   137   113     0    63     0   250     0   0.0 0.000   504 0.000 0.000 0.000 0.000 0.000   0.00   0.00 175.3  0.00  0.00  1.00  0.76  0.55  0.11  0.09  0.08      0      0    634
 2012 241    89    35   9.0     3  0.26   147   133     0    67     0   279     0   0.0 0.000   538 0.000 0.000 0.000 0.000 0.000   0.00   0.00 175.2  0.00  0.00  1.00  0.76  0.55  0.11  0.10  0.08      0      0    652
 2012 242    90    36   9.0     3  0.28   158   155     0    73     0   313     0   0.0 0.000   575 0.000 0.000 0.000 0.000 0.000   0.00   0.00 175.2  0.00  0.00  1.00  0.77  0.56  0.12  0.11  0.09      0      0    670
 2012 243    91    37   9.0     3  0.30   169   178     0    78     0   347     0   0.0 0.000   614 0.000 0.000 0.000 0.000 0.000   0.00   0.00 175.1  0.00  0.00  1.00  0.77  0.56  0.13  0.11  0.10      0      0    688
 2012 244    92    38   9.0     3  0.32   180   200     0    83     0   380     0   0.0 0.000   614 0.000 0.000 0.000 0.000 0.000   0.00   0.00 175.1  0.00  0.00  1.00  0.78  0.57  0.14  0.12  0.11      0      0    706
 2012 245    93    39  10.0     3  0.34   194   226     0    89     0   420     0   0.0 0.000   614 0.000 0.000 0.000 0.000 0.000   0.00   0.00 175.1  0.00  0.00  1.00  0.78  0.57  0.14  0.13  0.12      0      0    724
 2012 246    94    40  10.0     3  0.36   208   252     0    95     0   461     0   0.0 0.000   614 0.000 0.000 0.000 0.000 0.000   0.00   0.00 175.1  0.00  0.00  1.00  0.79  0.58  0.15  0.14  0.13      0      0    742
