GYdb,BSSdb,ANTdb,MATdb,GTGY,GTBSS,GTANT,GTMAT,GTNG,GTNT
713,2781,261,313,732,1877,277,305,3170,148
814,2966,257,310,251,1803,267,295,1002,105
1290,4775,261,315,2043,7830,275,303,7210,200
1242,4545,250,303,1206,2838,261,289,2075,125
1236,4605,273,328,1484,5128,287,315,1021,176
1118,4272,271,325,1313,3398,282,310,5591,150
1190,4603,264,317,1518,3850,274,302,1016,132
1174,4431,254,307,4123,7053,268,296,15622,197
1274,4795,256,310,2744,4586,267,296,2744,155
1012,3867,261,314,1561,4465,272,300,6525,150
930,3483,276,330,2006,2249,285,313,740,149
946,3644,276,334,185,4985,270,298,7957,164
1160,4480,264,317,135.2,6083,273,300,4267,154
877,3514,279,334,789.9,6321,289,316,623,102
1165,4399,265,319,1329,6251,273,300,9698,151
