*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  DEC 29, 2025 16:23:24

*RUN   1        : F1 NE 4                   RICER048 CRDA1201    1
 MODEL          : RICER048 - Rice
 EXPERIMENT     : CRDA1201 WH ESSAI VARIETE DAROU PAKA 2012
 DATA PATH      :
 TREATMENT  1   : F1 NE 4                   RICER048
  
!                                                                                                                                   Soil water content (mm3/mm3) by soil depth (cm):
!                                                                                                                                   0-5    5-15   15-30   30-45   45-60   60-80  80-100
@YEAR DOY   DAS    SWTD    SWXD    ROFC    DRNC    PREC    IR#C    IRRC   LATFC    DTWT    MWTD    TDFD    TDFC    ROFD    ROSD    SW1D    SW2D    SW3D    SW4D    SW5D    SW6D    SW7D
 2012 152     0     282     105       0       0       0       0       0       0     100    0.00     0.0     0.0    0.00    0.00   0.260   0.260   0.290   0.290   0.290   0.280   0.280
 2012 153     1     286     109       0       0      11       0       0       0     100    0.00     0.0     0.0    0.00    0.00   0.295   0.278   0.295   0.292   0.290   0.279   0.280
 2012 154     2     277     100       0       2      11       0       0       0     100    0.00     0.0     0.0    0.00    0.00   0.243   0.256   0.285   0.287   0.287   0.277   0.278
 2012 155     3     276      99       0       2      11       0       0       0     100    0.00     0.0     0.0    0.00    0.00   0.225   0.254   0.285   0.287   0.286   0.277   0.278
 2012 156     4     276      99       0       2      12       0       0       0     100    0.00     0.0     0.0    0.00    0.00   0.225   0.253   0.284   0.287   0.286   0.277   0.278
 2012 157     5     279     102       0       2      21       0       0       0     100    0.00     0.0     0.0    0.00    0.00   0.298   0.262   0.286   0.287   0.283   0.274   0.275
 2012 158     6     273      96       0       2      21       0       0       0     100    0.00     0.0     0.0    0.00    0.00   0.244   0.251   0.283   0.285   0.280   0.271   0.273
 2012 159     7     272      95       0       2      21       0       0       0     100    0.00     0.0     0.0    0.00    0.00   0.226   0.250   0.283   0.285   0.280   0.271   0.273
 2012 160     8     271      94       0       2      21       0       0       0     100    0.00     0.0     0.0    0.00    0.00   0.210   0.249   0.283   0.285   0.280   0.271   0.273
 2012 161     9     270      93       0       2      21       0       0       0     100    0.00     0.0     0.0    0.00    0.00   0.195   0.248   0.282   0.285   0.280   0.271   0.273
 2012 162    10     274      97       0       2      25       0       0       0     100    0.00     0.0     0.0    0.00    0.00   0.254   0.253   0.282   0.285   0.279   0.271   0.273
 2012 163    11     273      96       0       2      25       0       0       0     100    0.00     0.0     0.0    0.00    0.00   0.235   0.252   0.282   0.285   0.279   0.271   0.273
 2012 164    12     271      94       0       2      25       0       0       0     100    0.00     0.0     0.0    0.00    0.00   0.218   0.251   0.281   0.285   0.279   0.271   0.273
 2012 165    13     271      94       0       2      25       0       0       0     100    0.00     0.0     0.0    0.00    0.00   0.203   0.249   0.281   0.284   0.279   0.271   0.273
 2012 166    14     270      93       0       2      25       0       0       0     100    0.00     0.0     0.0    0.00    0.00   0.189   0.248   0.281   0.284   0.279   0.271   0.273
 2012 167    15     269      92       0       2      25       0       0       0     100    0.00     0.0     0.0    0.00    0.00   0.176   0.247   0.281   0.284   0.279   0.271   0.273
 2012 168    16     268      91       0       2      25       0       0       0     100    0.00     0.0     0.0    0.00    0.00   0.164   0.246   0.280   0.284   0.279   0.271   0.273
 2012 169    17     276      99       0       2      34       0       0       0     100    0.00     0.0     0.0    0.00    0.00   0.279   0.261   0.283   0.284   0.279   0.271   0.273
 2012 170    18     273      96       0       2      37       0       0       0     100    0.00     0.0     0.0    0.00    0.00   0.265   0.258   0.285   0.279   0.275   0.268   0.270
 2012 171    19     267      90       0       2      37       0       0       0     100    0.00     0.0     0.0    0.00    0.00   0.233   0.249   0.279   0.275   0.272   0.265   0.268
 2012 172    20     266      89       0       2      37       0       0       0     100    0.00     0.0     0.0    0.00    0.00   0.216   0.248   0.278   0.275   0.272   0.265   0.268
 2012 173    21     270      93       0       2      47       0       0       0     100    0.00     0.0     0.0    0.00    0.00   0.298   0.261   0.284   0.270   0.268   0.262   0.265
 2012 174    22     264      87       0       2      47       0       0       0     100    0.00     0.0     0.0    0.00    0.00   0.244   0.250   0.283   0.267   0.265   0.259   0.263
 2012 175    23     263      86       0       2      47       0       0       0     100    0.00     0.0     0.0    0.00    0.00   0.226   0.249   0.283   0.267   0.265   0.259   0.263
 2012 176    24     262      85       0       2      47       0       0       0     100    0.00     0.0     0.0    0.00    0.00   0.210   0.248   0.283   0.267   0.265   0.259   0.263
 2012 177    25     261      84       0       2      47       0       0       0     100    0.00     0.0     0.0    0.00    0.00   0.195   0.247   0.282   0.267   0.265   0.259   0.263
 2012 178    26     260      83       0       2      47       0       0       0     100    0.00     0.0     0.0    0.00    0.00   0.182   0.246   0.282   0.267   0.265   0.259   0.263
 2012 179    27     259      82       0       2      47       0       0       0     100    0.00     0.0     0.0    0.00    0.00   0.170   0.245   0.282   0.267   0.265   0.259   0.263
 2012 180    28     266      89       0       2      55       0       0       0     100    0.00     0.0     0.0    0.00    0.00   0.270   0.259   0.282   0.267   0.265   0.259   0.263
 2012 181    29     267      90       0       2      62       0       0       0     100    0.00     0.0     0.0    0.00    0.00   0.295   0.264   0.286   0.267   0.261   0.257   0.261
 2012 182    30     273      96       0       2      71       0       0       0     100    0.00     0.0     0.0    0.00    0.00   0.309   0.287   0.298   0.282   0.259   0.255   0.259
 2012 183    31     275      98       0       2      80       0       0       0     100    0.00     0.0     0.0    0.00    0.00   0.292   0.289   0.303   0.294   0.269   0.252   0.257
 2012 184    32     276      97       0       2      87       0       0       0     101    0.00     0.0     0.0    0.00    0.00   0.271   0.268   0.300   0.297   0.283   0.250   0.255
 2012 185    33     277      99       0       2      95       0       0       0     101    0.00     0.0     0.0    0.00    0.00   0.307   0.272   0.296   0.295   0.290   0.251   0.253
 2012 186    34     272      94       0       2      95       0       0       0     101    0.00     0.0     0.0    0.00    0.00   0.252   0.255   0.286   0.288   0.287   0.265   0.251
 2012 187    35     271      93       0       2      95       0       0       0     101    0.00     0.0     0.0    0.00    0.00   0.235   0.254   0.286   0.288   0.287   0.265   0.251
 2012 188    36     270      92       0       2      95       0       0       0     101    0.00     0.0     0.0    0.00    0.00   0.220   0.253   0.286   0.288   0.287   0.265   0.251
 2012 189    37     269      91       0       2      95       0       0       0     101    0.00     0.0     0.0    0.00    0.00   0.206   0.252   0.285   0.288   0.286   0.265   0.251
