LONs;LATs;ELEV;sand;silt;clay;BULK;COARSE;OrganicCarbon;N;PH;No.DB1;Region;SLLL;SDUL;SSAT;SSKS
-15.58972308;12.82973684;0.044495356;55.42315904;18.4338237;25.35570233;1.435696618;0.167024082;0.412262982;5.51127619;5.436605812;7;2;0.156265577;0.253325141;0.401087044;0.43
-15.58972308;12.82973684;0.044495356;55.42315904;18.4338237;25.35570233;1.435696618;0.167024082;0.412262982;5.51127619;5.436605812;8;2;0.156265577;0.253325141;0.401087044;0.43
-15.58972308;12.82973684;0.044495356;55.42315904;18.4338237;25.35570233;1.435696618;0.167024082;0.412262982;5.51127619;5.436605812;9;2;0.156265577;0.253325141;0.401087044;0.43
-15.96972222;12.79972222;0.01579321;51.48043523;24.21627274;24.28703675;1.356547427;0.182765277;0.844111248;5.715975274;5.240640319;31;2;0.154749477;0.262504528;0.419035379;0.43
-15.84972222;12.69972222;0.011398148;56.76268476;19.90791348;23.3275507;1.206523385;0.167653881;1.055466589;5.408137421;5.248867756;32;2;0.151599248;0.25152952;0.420991982;0.43
-15.92911606;12.63067476;0.008991903;48.5753843;24.14653067;20.75459485;1.181805554;0.146114236;1.347464413;5.63550778;4.906217239;33;2;0.140231465;0.260404233;0.442057499;1.32
-15.81972222;12.69972222;0.017188272;60.01684093;17.78926276;22.17928982;1.310789296;0.182108522;1.043789164;5.816899998;5.346308776;34;2;0.144893824;0.2392185;0.418027391;0.43
-15.79972222;12.72972222;0.015910494;59.23276905;19.95438012;20.82427426;1.368540104;0.19323471;0.964453527;6.219302492;5.286712875;35;2;0.136135908;0.232131092;0.416923784;0.43
-15.80972222;12.72972222;0.014685185;57.3252383;20.23021137;22.44926428;1.359697921;0.187023984;1.354789736;6.602052524;5.248147309;36;2;0.150066077;0.25166013;0.431340733;0.43
-14.94972222;12.85972222;0.017132716;49.73861497;20.94280547;29.33375534;1.524522841;0.164657374;0.457716468;5.787637588;5.463318364;3;3;0.180091444;0.285677477;0.410775899;0.43
-14.94972222;12.85972222;0.017132716;49.73861497;20.94280547;29.33375534;1.524522841;0.164657374;0.457716468;5.787637588;5.463318364;4;3;0.180091444;0.285677477;0.410775899;0.43
-14.94972222;12.85972222;0.017132716;49.73861497;20.94280547;29.33375534;1.524522841;0.164657374;0.457716468;5.787637588;5.463318364;5;3;0.180091444;0.285677477;0.410775899;0.43
-14.94972222;12.85972222;0.017132716;49.73861497;20.94280547;29.33375534;1.524522841;0.164657374;0.457716468;5.787637588;5.463318364;6;3;0.180091444;0.285677477;0.410775899;0.43
-13.90972222;13.82972222;0.022151235;52.46647466;18.86577292;28.68457694;1.606510528;0.12668225;0.33752567;3.013588227;6.03064293;10;5;0.175141967;0.275706002;0.403779018;0.43
-13.90972222;13.82972222;0.022151235;52.46647466;18.86577292;28.68457694;1.606510528;0.12668225;0.33752567;3.013588227;6.03064293;11;5;0.175141967;0.275706002;0.403779018;0.43
-13.90972222;13.82972222;0.022151235;52.46647466;18.86577292;28.68457694;1.606510528;0.12668225;0.33752567;3.013588227;6.03064293;12;5;0.175141967;0.275706002;0.403779018;0.43
-13.90972222;13.82972222;0.022151235;52.46647466;18.86577292;28.68457694;1.606510528;0.12668225;0.33752567;3.013588227;6.03064293;13;5;0.175141967;0.275706002;0.403779018;0.43
-13.90972222;13.82972222;0.022151235;52.46647466;18.86577292;28.68457694;1.606510528;0.12668225;0.33752567;3.013588227;6.03064293;14;5;0.175141967;0.275706002;0.403779018;0.43
-13.90972222;13.82972222;0.022151235;52.46647466;18.86577292;28.68457694;1.606510528;0.12668225;0.33752567;3.013588227;6.03064293;15;5;0.175141967;0.275706002;0.403779018;0.43
-14.23972222;13.85972222;0.04517284;54.75839692;20.49523163;24.74156275;1.597063649;0.106798744;0.534131853;4.110281084;5.755122076;16;5;0.154003611;0.253336913;0.40540676;0.43
-13.96972222;14.12972222;0.031694444;55.46507756;19.25781576;25.27307698;1.591293591;0.103590563;0.350770493;3.67572953;5.879253498;17;5;0.155116796;0.251741562;0.39906243;0.43
-14.39972222;13.84972222;0.051848765;60.66193723;14.40020479;24.94703997;1.591126807;0.129537748;0.362338476;3.324630522;5.861194573;18;5;0.153088877;0.240503016;0.394883368;0.43
-14.23972222;13.85972222;0.04517284;54.75839692;20.49523163;24.74156275;1.597063649;0.106798744;0.534131853;4.110281084;5.755122076;19;5;0.154003611;0.253336913;0.40540676;0.43
-13.95972222;13.76972222;0.018503086;54.11625207;20.23788213;25.62607474;1.602391766;0.140911856;0.363214843;3.061456341;5.916896481;20;5;0.157382628;0.256384915;0.400840295;0.43
-14.24972222;14.06972222;0.03633642;60.59265864;14.850213;24.55765572;1.577883986;0.088018711;0.574605688;3.782879477;5.938482216;21;5;0.15321275;0.242233067;0.401353805;0.43
