WTH;SOIL;ID;Cultivar 
DARO1201;CR06002014;CRDA1201;Nerica 4
DARO1301;CR06002014;CRDA1301;Nerica 4
KOLD1201;CR04002012;CRKD1201;Nerica 4
KOLD1301;CR03002013;CRKD1301;Nerica 4
KOLD1401;CR04002014;CRKD1401;Nerica 4
KOLD1401;CR05002014;CRKD1402;Nerica 4
SEFA1201;CR05002012;CRSF1201;Nerica 4
SEFA1301;CR05002013;CRSF1301;Nerica 4
SEFA1301;CR06002013;CRSF1302;Nerica 4
SMAL1301;CR01002013;CRSM1301;Nerica 4
SMAL1301;CR07002013;CRSM1302;Nerica 4
SMAL1301;CR02002013;CRSM1303;Nerica 4
SMAL1401;CR01002014;CRSM1401;Nerica 4
SMAL1401;CR01002014;CRSM1402;Nerica 4
SMAL1401;CR01002014;CRSM1403;Nerica 4
