Variable,Env_1,Env_2,Env_3,Env_4
Fitness,0.954869138954338,0.95540533309945,0.973385464432847,0.948249617766145
P1,526.626899308425,605,538.098495483398,605
P5,372.133646056041,207,247.841796875,207
P2R,237.422556767997,112.75,204.612579345703,112.75
PHINT,73.9311603270471,72,74.0965118408203,72
P2O,11.7367128171376,11.7,12.10751953125,11.7
G1,64.0312448134719,61,60.9921875,61
G2,0.0247479588341448,0.02475,0.026696044921875,0.02475
G3,0.845244983098237,0.97,0.952601928710938,0.97
Grain Yield (kg/ha),4837.33333333333,4013.66666666667,4212.66666666667,3742.66666666667
Biomass (kg/ha),8895.33333333333,7200.33333333333,7214,6801.66666666667
Harvest Index,0.543785525887749,0.557473755235225,0.583921047399602,0.550293081240776
WUE (kg/mm),6.16625419599883,5.96897366796338,5.84196625549866,5.96934804788053
Grain Number (/m²),19349.6666666667,16055.6666666667,15602.3333333333,14970.6666666667
Tiller Number (/m²),956,1252.66666666667,905.666666666667,1242.33333333333
Anthesis (days),87.3333333333333,80,80,80
Maturity (days),115.666666666667,101,102.666666666667,100.666666666667
LAI (m²/m²),3.73333333333333,3.23333333333333,2.96666666666667,3.03333333333333
