,EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,SRAA,TMAXA,TMINA,REFA,EOAA,EOPA,EOSA,ETAA,EPAA,ESAA,EFAA,EMAA,EOAC,ETAC,EPAC,ESAC,EFAC,EMAC,KCAA,KBSA,KEAA,ES1D,ES2D,ES3D,ES4D,ES5D,ES6D,ES7D,TRWUD,TWUPD
1,CRDA1201,RICER048,1,1,2012-06-01,1,23.9,40.3,26.9,NA,9.527,0,9.527,5.811,0,5.811,0,0,9.53,5.81,0,5.81,0,0,NA,NA,NA,1.385,1.047,1.01,0.706,0.558,0.601,0.504,0,0
2,CRDA1201,RICER048,1,1,2012-06-02,2,24.8,39.5,25.8,NA,9.395,0,9.395,0.975,0,0.975,0,0,18.92,6.79,0,6.79,0,0,NA,NA,NA,0.796,0.109,0.039,0.014,0.007,0.006,0.003,0,0
3,CRDA1201,RICER048,1,1,2012-06-03,3,16.8,41.2,25.9,NA,6.861,0,6.861,0.938,0,0.938,0,0,25.78,7.72,0,7.72,0,0,NA,NA,NA,0.76,0.109,0.039,0.014,0.007,0.006,0.003,0,0
4,CRDA1201,RICER048,1,1,2012-06-04,4,24.5,40.6,28,NA,9.863,0,9.863,1.006,0,1.006,0,0,35.65,8.73,0,8.73,0,0,NA,NA,NA,0.828,0.109,0.039,0.014,0.007,0.006,0.003,0,0
5,CRDA1201,RICER048,1,1,2012-06-05,5,25.7,40.6,26.4,NA,10.326,0,10.326,1.041,0,1.041,0,0,45.97,9.77,0,9.77,0,0,NA,NA,NA,0.862,0.109,0.039,0.014,0.007,0.006,0.003,0,0
6,CRDA1201,RICER048,1,1,2012-06-06,6,26.2,40.4,26.5,NA,10.395,0,10.395,0.977,0,0.977,0,0,56.37,10.75,0,10.75,0,0,NA,NA,NA,0.798,0.109,0.039,0.014,0.007,0.006,0.003,0,0
7,CRDA1201,RICER048,1,1,2012-06-07,7,25.5,41.1,25.7,NA,10.358,0,10.358,0.913,0,0.913,0,0,66.72,11.66,0,11.66,0,0,NA,NA,NA,0.735,0.108,0.039,0.014,0.007,0.006,0.003,0,0
8,CRDA1201,RICER048,1,1,2012-06-08,8,23.4,38.3,25.3,NA,8.279,0,8.279,0.846,0,0.846,0,0,75,12.51,0,12.51,0,0,NA,NA,NA,0.669,0.108,0.039,0.014,0.007,0.006,0.003,0,0
9,CRDA1201,RICER048,1,1,2012-06-09,9,23.8,40.4,26.6,NA,9.347,0,9.347,0.79,0,0.79,0,0,84.35,13.3,0,13.3,0,0,NA,NA,NA,0.614,0.107,0.039,0.014,0.007,0.006,0.003,0,0
10,CRDA1201,RICER048,1,1,2012-06-10,10,24.4,41.7,27.2,NA,10.169,0,10.169,0.833,0,0.833,0,0,94.52,14.13,0,14.13,0,0,NA,NA,NA,0.657,0.106,0.039,0.014,0.007,0.006,0.003,0,0
11,CRDA1201,RICER048,1,1,2012-06-11,11,22.5,39.1,27.4,NA,8.399,0,8.399,0.962,0,0.962,0,0,102.92,15.09,0,15.09,0,0,NA,NA,NA,0.787,0.106,0.039,0.014,0.007,0.006,0.003,0,0
12,CRDA1201,RICER048,1,1,2012-06-12,12,23.1,37,25.7,NA,7.741,0,7.741,1.077,0,1.077,0,0,110.66,16.17,0,16.17,0,0,NA,NA,NA,0.9,0.108,0.039,0.014,0.007,0.006,0.003,0,0
13,CRDA1201,RICER048,1,1,2012-06-13,13,21.2,35.6,25.2,NA,6.615,0,6.615,5.817,0,5.817,0,0,117.27,21.99,0,21.99,0,0,NA,NA,NA,1.476,1.039,0.977,0.689,0.548,0.592,0.498,0,0
14,CRDA1201,RICER048,1,1,2012-06-14,14,21.2,36.7,25.3,NA,7.012,0,7.012,5.723,0,5.723,0,0,124.29,27.71,0,27.71,0,0,NA,NA,NA,1.438,1.032,0.963,0.674,0.539,0.584,0.492,0,0
15,CRDA1201,RICER048,1,1,2012-06-15,15,22.8,36.8,27.1,NA,7.654,0,7.654,5.712,0,5.712,0,0,131.94,33.42,0,33.42,0,0,NA,NA,NA,1.472,1.036,0.951,0.661,0.53,0.576,0.487,0,0
16,CRDA1201,RICER048,1,1,2012-06-16,16,23.9,37.5,25.1,NA,8.246,0,8.246,5.777,0,5.777,0,0,140.19,39.2,0,39.2,0,0,NA,NA,NA,1.553,1.052,0.954,0.647,0.522,0.568,0.481,0,0
17,CRDA1201,RICER048,1,1,2012-06-17,17,22.1,31.7,25.3,NA,6.478,0,6.478,5.97,0,5.97,0,0,146.66,45.17,0,45.17,0,0,NA,NA,NA,1.704,1.093,0.983,0.64,0.513,0.561,0.476,0,0
18,CRDA1201,RICER048,1,1,2012-06-18,18,19.2,30.8,25.1,NA,5.621,0,5.621,5.621,0,5.621,0,0,152.28,50.79,0,50.79,0,0,NA,NA,NA,1.636,1.036,0.938,0.598,0.466,0.511,0.435,0,0
19,CRDA1201,RICER048,1,1,2012-06-19,19,22.7,33.7,24.5,NA,6.792,0,6.792,5.93,0,5.93,0,0,159.08,56.72,0,56.72,0,0,NA,NA,NA,1.633,1.102,1.022,0.663,0.497,0.547,0.466,0,0
20,CRDA1201,RICER048,1,1,2012-06-20,20,24.3,31,25.1,NA,7.053,0,7.053,5.891,0,5.891,0,0,166.13,62.61,0,62.61,0,0,NA,NA,NA,1.618,1.089,1.02,0.675,0.489,0.539,0.46,0,0
21,CRDA1201,RICER048,1,1,2012-06-21,21,20.5,35.1,24.4,NA,6.238,0,6.238,5.909,0,5.909,0,0,172.37,68.52,0,68.52,0,0,NA,NA,NA,1.647,1.09,1.019,0.686,0.481,0.532,0.455,0,0
22,CRDA1201,RICER048,1,1,2012-06-22,22,21.7,37.9,25.2,NA,7.662,0,7.662,5.683,0,5.683,0,0,180.03,74.2,0,74.2,0,0,NA,NA,NA,1.478,1.061,1.012,0.683,0.473,0.525,0.45,0,0
23,CRDA1201,RICER048,1,1,2012-06-23,23,19.3,31.4,24.9,NA,5.583,0,5.583,5.583,0,5.583,0,0,185.61,79.79,0,79.79,0,0,NA,NA,NA,1.498,1.035,0.987,0.662,0.456,0.508,0.436,0,0
24,CRDA1201,RICER048,1,1,2012-06-24,24,15.8,31.2,23.7,NA,4.576,0,4.576,4.576,0,4.576,0,0,190.19,84.36,0,84.36,0,0,NA,NA,NA,1.346,0.846,0.78,0.526,0.35,0.391,0.337,0,0
25,CRDA1201,RICER048,1,1,2012-06-25,25,17.1,31.7,23,NA,4.989,0,4.989,4.989,0,4.989,0,0,195.18,89.35,0,89.35,0,0,NA,NA,NA,1.451,0.994,0.853,0.571,0.381,0.397,0.342,0,0
26,CRDA1201,RICER048,1,1,2012-06-26,26,24.3,34.9,23.7,NA,7.358,0,7.358,6.239,0,6.239,0,0,202.54,95.59,0,95.59,0,0,NA,NA,NA,1.659,1.222,1.118,0.76,0.541,0.508,0.433,0,0
27,CRDA1201,RICER048,1,1,2012-06-27,27,23,30.8,24.6,NA,6.638,0,6.638,6.084,0,6.084,0,0,209.17,101.68,0,101.68,0,0,NA,NA,NA,1.58,1.152,1.077,0.753,0.571,0.522,0.428,0,0
