*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  DEC 30, 2025 00:11:04

*RUN   1        : F1 NE 4                   RICER048 CRDA1201    1
 MODEL          : RICER048 - Rice
 EXPERIMENT     : CRDA1201 WH ESSAI VARIETE DAROU PAKA 2012
 DATA PATH      :
 TREATMENT  1   : F1 NE 4                   RICER048
  
!YR        Days  Days              Leaf  <--------- Dry Weight -----------> Grain Kernl              <------ Stress (0-1) ------>   Leaf  Shell  Spec  <-Canopy->  Root  <-- Root Length Density ---><Senesced Mat>   Phot  
!  and    after after  Leaf  Grow  Area  <------------ kg/Ha ------------->   per  wght  Harv Tillr  <--- Water ---->                Nit   -ing  Leaf  Hght Brdth Depth  <---- cm3/cm3 of soil -----> <--(kg/ha)-->  Therm  
!     DOY start plant   Num Stage Index  Leaf  Stem Grain  Root Panic  Crop    m2    mg  Indx   No.  Phot  Grow  Excs  Nitr Potas     %      %   Area    m     m     m    0-5  5-15 15-30 30-4545-100   Surf   Soil   Days  
@YEAR DOY   DAS   DAP  L#SD  GSTD  LAID  LWAD  SWAD  GWAD  RWAD  EWAD  CWAD  G#AD  GWGD  HIAD  T#AD  WSPD  WSGD  EWSD  NSTD  KSTD   LN%D   SH%D  SLAD  CHTD  CWID  RDPD  RL1D  RL2D  RL3D  RL4D  RL5D  SNW0C  SNW1C   DTTC  
 2012 195    43     0   0.0     0  0.00     1     1     0     1     0     1     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00   0.0  0.00  0.00  0.02  0.00  0.00  0.00  0.00  0.00      0      0     18
 2012 196    44     1   0.0     0  0.00     1     1     0     1     0     1     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00   0.0  0.00  0.00  0.02  0.00  0.00  0.00  0.00  0.00      0      0     36
 2012 197    45     2   0.0     0  0.00     1     1     0     1     0     1     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00   0.0  0.00  0.00  0.02  0.00  0.00  0.00  0.00  0.00      0      0     54
 2012 198    46     3   0.0     0  0.00     1     1     0     1     0     1     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00   0.0  0.00  0.00  0.05  0.00  0.00  0.00  0.00  0.00      0      0     72
 2012 199    47     4   0.0     0  0.00     1     1     0     1     0     1     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00   0.0  0.00  0.00  0.07  0.00  0.00  0.00  0.00  0.00      0      0     90
 2012 200    48     5   1.0     1  0.01     2     1     0     1     0     3     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 279.1  0.00  0.00  0.10  1.00  0.50  0.00  0.00  0.00      0      0    108
 2012 201    49     6   1.0     1  0.01     3     1     0     1     0     4     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 239.3  0.00  0.00  0.10  1.00  0.50  0.00  0.00  0.00      0      0    126
 2012 202    50     7   2.0     1  0.01     5     1     0     1     0     5     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 221.8  0.00  0.00  0.13  1.00  0.50  0.00  0.00  0.00      0      0    144
 2012 203    51     8   2.0     1  0.01     6     1     0     2     0     7     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 212.1  0.00  0.00  0.17  1.00  0.50  0.00  0.00  0.00      0      0    162
 2012 204    52     9   2.0     1  0.02     8     1     0     3     0     9     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 205.6  0.00  0.00  0.20  1.00  0.50  0.00  0.00  0.00      0      0    180
 2012 205    53    10   3.0     1  0.02    10     1     0     3     0    11     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 200.9  0.00  0.00  0.23  1.00  0.50  0.00  0.00  0.00      0      0    198
 2012 206    54    11   3.0     1  0.02    12     1     0     4     0    13     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 197.5  0.00  0.00  0.26  0.99  0.50  0.01  0.00  0.00      0      0    216
 2012 207    55    12   4.0     1  0.03    15     1     0     6     0    15     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 195.0  0.00  0.00  0.29  0.99  0.50  0.01  0.00  0.00      0      0    234
 2012 208    56    13   4.0     2  0.03    17     1     0     7     0    18     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 190.6  0.00  0.00  0.33  0.99  0.51  0.01  0.00  0.00      0      0    252
 2012 209    57    14   4.0     2  0.04    20     1     0     9     0    22     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 187.0  0.00  0.00  0.36  0.99  0.51  0.02  0.00  0.00      0      0    270
 2012 210    58    15   5.0     2  0.04    23     2     0    10     0    25     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 184.4  0.00  0.00  0.39  0.99  0.51  0.02  0.00  0.00      0      0    288
 2012 211    59    16   5.0     2  0.05    26     2     0    13     0    28     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 182.4  0.00  0.00  0.42  0.99  0.51  0.03  0.01  0.00      0      0    306
 2012 212    60    17   5.0     2  0.05    29     3     0    17     0    32     0   0.0 0.000    60 0.000 0.000 0.000 0.000 0.000   0.00   0.00 180.7  0.00  0.00  0.46  0.99  0.52  0.03  0.02  0.00      0      0    324
 2012 213    61    18   6.0     2  0.06    33     6     0    19     0    40     0   0.0 0.000   104 0.000 0.000 0.000 0.000 0.000   0.00   0.00 189.9  0.00  0.00  0.49  1.00  0.52  0.04  0.02  0.00      0      0    342
 2012 214    62    19   6.0     2  0.07    36     9     0    20     0    45     0   0.0 0.000   107 0.000 0.000 0.000 0.000 0.000   0.00   0.00 189.2  0.00  0.00  0.52  0.99  0.52  0.05  0.03  0.00      0      0    360
 2012 215    63    20   6.0     2  0.08    41    13     0    22     0    54     0   0.0 0.000   110 0.000 0.000 0.000 0.000 0.000   0.00   0.00 188.3  0.00  0.00  0.55  0.99  0.52  0.05  0.03  0.01      0      0    378
 2012 216    64    21   7.0     3  0.09    47    17     0    23     0    64     0   0.0 0.000   113 0.000 0.000 0.000 0.000 0.000   0.00   0.00 186.3  0.00  0.00  0.58  0.99  0.52  0.05  0.03  0.01      0      0    396
 2012 217    65    22   7.0     3  0.10    53    21     0    25     0    74     0   0.0 0.000   114 0.000 0.000 0.000 0.000 0.000   0.00   0.00 184.6  0.00  0.00  0.62  0.99  0.52  0.05  0.04  0.01      0      0    414
