,EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,DAP,L#SD,GSTD,LAID,LWAD,SWAD,GWAD,RWAD,EWAD,CWAD,G#AD,GWGD,HIAD,T#AD,WSPD,WSGD,EWSD,NSTD,KSTD,LN%D,SH%D,SLAD,CHTD,CWID,RDPD,RL1D,RL2D,RL3D,RL4D,RL5D,SNW0C,SNW1C,DTTC
1,CRDA1201,RICER048,1,1,2012-07-13,43,0,0,0,0,1,1,0,1,0,1,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,18
2,CRDA1201,RICER048,1,1,2012-07-14,44,1,0,0,0,1,1,0,1,0,1,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,36
3,CRDA1201,RICER048,1,1,2012-07-15,45,2,0,0,0,1,1,0,1,0,1,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,54
4,CRDA1201,RICER048,1,1,2012-07-16,46,3,0,0,0,1,1,0,1,0,1,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,72
5,CRDA1201,RICER048,1,1,2012-07-17,47,4,0,0,0,1,1,0,1,0,1,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,90
6,CRDA1201,RICER048,1,1,2012-07-18,48,5,1,1,0.01,2,1,0,1,0,3,0,0,0,60,0,0,0,0,0,0,0,279.1,0,0,0.1,1,0.5,0,0,0,0,0,108
7,CRDA1201,RICER048,1,1,2012-07-19,49,6,1,1,0.01,3,1,0,1,0,4,0,0,0,60,0,0,0,0,0,0,0,239.3,0,0,0.1,1,0.5,0,0,0,0,0,126
8,CRDA1201,RICER048,1,1,2012-07-20,50,7,2,1,0.01,5,1,0,1,0,5,0,0,0,60,0,0,0,0,0,0,0,221.8,0,0,0.13,1,0.5,0,0,0,0,0,144
9,CRDA1201,RICER048,1,1,2012-07-21,51,8,2,1,0.01,6,1,0,2,0,7,0,0,0,60,0,0,0,0,0,0,0,212.1,0,0,0.17,1,0.5,0,0,0,0,0,162
10,CRDA1201,RICER048,1,1,2012-07-22,52,9,2,1,0.02,8,1,0,3,0,9,0,0,0,60,0,0,0,0,0,0,0,205.6,0,0,0.2,1,0.5,0,0,0,0,0,180
11,CRDA1201,RICER048,1,1,2012-07-23,53,10,3,1,0.02,10,1,0,3,0,11,0,0,0,60,0,0,0,0,0,0,0,200.9,0,0,0.23,1,0.5,0,0,0,0,0,198
