*SOM C DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  DEC 30, 2025 00:11:04

*RUN   1        : F1 NE 4                   RICER048 CRDA1201    1
 MODEL          : RICER048 - Rice
 EXPERIMENT     : CRDA1201 WH ESSAI VARIETE DAROU PAKA 2012
 DATA PATH      :
 TREATMENT  1   : F1 NE 4                   RICER048
  
!                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    Cumul.
!               <---- SOM C in top layers ----> <- SOM + LIT C in top layers -> <------------ Total Soil Organic Carbon (SOM + LIT) ------------> <--------- Active Soil Organic Carbon (SOM1) ---------> <---- Intermediate Soil Organic C (SOM2) -----> <------- Passive Soil Organic C (SOM3) -------> <------------------ Litter Carbon --------------------> <-------------- Metabolic Litter Carbon --------------> <------------- Structural Litter Carbon -------------->  Resid.  <-Accum. CO2->
!               20cm-kg  20cm-% 40cm-kg  40cm-% 20cm-kg  20cm-% 40cm-kg  40cm-%     Total Surface    Soil     0-5    5-15   15-30   30-45  45-100 Surface    Soil     0-5    5-15   15-30   30-45  45-100    Soil     0-5    5-15   15-30   30-45  45-100    Soil     0-5    5-15   15-30   30-45  45-100 Surface    Soil     0-5    5-15   15-30   30-45  45-100 Surface    Soil     0-5    5-15   15-30   30-45  45-100 Surface    Soil     0-5    5-15   15-30   30-45  45-100 (kg/ha) Surface    Soil
@YEAR DOY   DAS  SCS20D  SC%20D  SCS40D  SC%40D  SLC20D  SL%20D  SLC40D  SL%40D      SOCD    SC0D    SCTD    SC1D    SC2D    SC3D    SC4D   SC5+D   S1C0D   S1CTD   S1C1D   S1C2D   S1C3D   S1C4D  S1C5+D   S2CTD   S2C1D   S2C2D   S2C3D   S2C4D  S2C5+D   S3CTD   S3C1D   S3C2D   S3C3D   S3C4D  S3C5+D    LC0D    LCTD    LC1D    LC2D    LC3D    LC4D   LC5+D   MEC0D   MECTD   MEC1D   MEC2D   MEC3D   MEC4D  MEC5+D   STC0D   STCTD   STC1D   STC2D   STC3D   STC4D  STC5+D    RESC   CO20C   CO2SC
 2012 152     0   26501   0.848   12538   0.399   26540   0.849   12560   0.400     70620       0   70620    7800   15600    9420    9420   28380       0     352     102     203       9       9      28    6690    1930    3864     179     179     539   63494    5756   11513    9212    9219   27794       0      84      12      20      20      13      19       0      69      10      16      17      11      15       0      15       2       4       4       2       3       0       0       0
 2012 153     1   26496   0.848   12538   0.399   26532   0.849   12559   0.400     70609       0   70609    7797   15595    9419    9419   28379       0     350     101     201      10      10      29    6688    1929    3863     179     179     539   63493    5756   11513    9211    9219   27794       0      79      12      18      19      12      17       0      64       9      15      15      10      14       0      15       2       4       4       2       3       0       0      11
 2012 154     2   26491   0.848   12538   0.399   26525   0.849   12558   0.400     70600       0   70600    7795   15591    9418    9419   28377       0     349     100     199      10      10      29    6685    1928    3861     178     179     539   63492    5756   11512    9211    9219   27793       0      74      11      17      18      12      16       0      59       9      14      14       9      13       0      15       2       4       4       2       3       0       0      20
 2012 155     3   26486   0.848   12538   0.399   26519   0.849   12557   0.400     70591       0   70591    7793   15586    9417    9418   28376       0     347      99     197      11      10      29    6683    1928    3860     178     179     538   63491    5756   11512    9211    9218   27793       0      70      10      16      17      11      16       0      55       8      13      13       9      12       0      15       2       4       4       2       3       0       0      29
 2012 156     4   26482   0.847   12539   0.399   26512   0.848   12556   0.400     70582       0   70582    7792   15582    9417    9417   28375       0     345      98     196      11      11      30    6681    1927    3859     178     179     538   63490    5756   11512    9211    9218   27792       0      66      10      15      16      10      15       0      51       8      12      12       8      11       0      15       2       4       4       2       3       0       0      38
 2012 157     5   26476   0.847   12539   0.399   26505   0.848   12555   0.400     70573       0   70573    7789   15578    9416    9417   28374       0     343      97     194      12      11      30    6679    1927    3857     178     178     538   63489    5756   11512    9211    9218   27792       0      62       9      15      15      10      14       0      47       7      11      11       7      11       0      15       2       4       4       2       3       0       0      47
 2012 158     6   26471   0.847   12539   0.399   26499   0.848   12554   0.400     70565       0   70565    7787   15573    9415    9416   28373       0     341      96     192      12      11      30    6676    1926    3856     178     178     538   63488    5756   11512    9211    9218   27792       0      59       9      14      14       9      13       0      44       7      10      11       7      10       0      15       2       4       4       2       3       0       0      55
 2012 159     7   26467   0.847   12539   0.399   26493   0.848   12553   0.400     70556       0   70556    7785   15569    9414    9416   28372       0     339      96     190      12      11      30    6674    1925    3855     178     178     538   63487    5756   11512    9210    9218   27791       0      56       8      13      13       9      12       0      41       6       9      10       6       9       0      15       2       4       4       2       3       0       0      64
 2012 160     8   26462   0.847   12539   0.399   26487   0.848   12553   0.400     70548       0   70548    7784   15565    9414    9415   28371       0     337      95     188      12      11      30    6672    1925    3853     178     178     538   63486    5756   11512    9210    9218   27791       0      53       8      12      13       8      12       0      38       6       9       9       6       9       0      15       2       4       4       2       3       0       0      72
 2012 161     9   26458   0.847   12539   0.399   26481   0.847   12552   0.400     70541       0   70541    7782   15561    9413    9415   28370       0     335      94     186      13      11      31    6670    1924    3852     178     178     537   63485    5756   11511    9210    9217   27790       0      51       8      12      12       8      11       0      36       6       8       8       5       8       0      15       2       4       4       2       3       0       0      79
