*Soil Organic Matter daily output file

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  DEC 30, 2025 00:11:04

*RUN   1        : F1 NE 4                   RICER048 CRDA1201    1
 MODEL          : RICER048 - Rice
 EXPERIMENT     : CRDA1201 WH ESSAI VARIETE DAROU PAKA 2012
 DATA PATH      :
 TREATMENT  1   : F1 NE 4                   RICER048
  
@YEAR DOY   DAS    OMAC    SCDD    SOCD    SC0D    SCTD   SOMCT    LCTD    ONAC    SNDD    SOND    SN0D    SNTD   SOMNT    LNTD
 2012 152     0       0   13632   70620       0   70620   70536    84.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 153     1       0   13629   70609       0   70609   70531    78.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 154     2       0   13626   70600       0   70600   70526    74.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 155     3       0   13623   70591       0   70591   70521    70.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 156     4       0   13620   70582       0   70582   70516    66.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 157     5       0   13617   70573       0   70573   70511    62.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 158     6       0   13614   70565       0   70565   70506    59.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 159     7       0   13611   70556       0   70556   70500    56.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 160     8       0   13608   70548       0   70548   70495    53.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 161     9       0   13606   70541       0   70541   70490    50.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 162    10       0   13603   70534       0   70534   70486    48.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 163    11       0   13600   70526       0   70526   70480    46.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 164    12       0   13597   70519       0   70519   70475    43.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 165    13       0   13594   70511       0   70511   70469    41.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 166    14       0   13591   70503       0   70503   70463    39.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 167    15       0   13589   70496       0   70496   70457    38.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 168    16       0   13586   70489       0   70489   70452    36.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 169    17       0   13583   70482       0   70482   70446    35.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 170    18       0   13580   70475       0   70475   70441    34.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 171    19       0   13577   70469       0   70469   70436    33.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 172    20       0   13575   70462       0   70462   70430    31.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 173    21       0   13572   70456       0   70456   70426    30.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 174    22       0   13570   70451       0   70451   70421    30.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 175    23       0   13567   70445       0   70445   70416    29.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 176    24       0   13564   70439       0   70439   70411    28.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 177    25       0   13562   70434       0   70434   70406    27.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 178    26       0   13560   70429       0   70429   70402    27.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 179    27       0   13558   70423       0   70423   70397    26.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 180    28       0   13555   70418       0   70418   70392    25.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 181    29       0   13553   70412       0   70412   70387    25.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 182    30       0   13551   70407       0   70407   70383    24.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 183    31       0   13548   70402       0   70402   70378    23.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 184    32       0   13450   70396       0   70396   70373    23.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 185    33       0   13475   70391       0   70391   70368    22.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 186    34       0   13485   70385       0   70385   70363    22.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 187    35       0   13496   70380       0   70380   70357    22.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
