Var1,EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,PRED,DAYLD,TWLD,SRAD,PARD,CLDD,TMXD,TMND,TAVD,TDYD,TDWD,TGAD,TGRD,WDSD,CO2D,VPDF,VPD,OZON7,WDATE
1,CRDA1201,RICER048,1,1,2012-06-01,1,8.3,12,12.9,21.6,43.2,0.2,32.8,23.7,28.1,29.5,18.2,28.1,29.5,227,393.6,0,0,NA,2012-06-01
2,CRDA1201,RICER048,1,1,2012-06-02,2,3,12,12.9,24.6,49.2,0.08,33.2,23.3,28,29.6,17.5,28,29.6,263,393.6,0,0,NA,2012-06-02
3,CRDA1201,RICER048,1,1,2012-06-03,3,3.7,12,12.9,18.4,36.8,0.31,31.6,23.8,27.5,28.8,18.8,27.5,28.8,348,393.6,0,0,NA,2012-06-03
4,CRDA1201,RICER048,1,1,2012-06-04,4,2.2,12,12.9,15.8,31.6,0.41,31.6,23,27.1,28.5,18.2,27.1,28.5,270,393.6,0,0,NA,2012-06-04
5,CRDA1201,RICER048,1,1,2012-06-05,5,1.4,12,12.9,23.2,46.4,0.13,36.1,23.4,29.5,31.5,16.5,29.5,31.5,159,393.6,0,0,NA,2012-06-05
6,CRDA1201,RICER048,1,1,2012-06-06,6,6.4,12,12.9,23.4,46.8,0.12,34.7,24.8,29.5,31.1,18,29.5,31.1,204,393.6,0,0,NA,2012-06-06
7,CRDA1201,RICER048,1,1,2012-06-07,7,11.3,12,12.9,19.9,39.8,0.25,34.7,24.4,29.3,31,19.4,29.3,31,179,393.6,0,0,NA,2012-06-07
8,CRDA1201,RICER048,1,1,2012-06-08,8,6.3,12,12.9,15,30,0.44,30.9,23.9,27.2,28.4,19.7,27.2,28.4,170,393.6,0,0,NA,2012-06-08
9,CRDA1201,RICER048,1,1,2012-06-09,9,0.7,12,12.9,22.9,45.8,0.14,37.5,23.7,30.3,32.5,16.2,30.3,32.5,105,393.6,0,0,NA,2012-06-09
10,CRDA1201,RICER048,1,1,2012-06-10,10,1.4,12,12.9,23.3,46.6,0.13,34,24.5,29,30.6,18.9,29,30.6,277,393.6,0,0,NA,2012-06-10
11,CRDA1201,RICER048,1,1,2012-06-11,11,2.9,12,12.9,23.6,47.2,0.11,33.1,24.1,28.4,29.9,19.2,28.4,29.9,189,393.6,0,0,NA,2012-06-11
12,CRDA1201,RICER048,1,1,2012-06-12,12,4.2,12,12.9,24.4,48.8,0.08,34,24.2,28.9,30.5,18.7,28.9,30.5,270,393.6,0,0,NA,2012-06-12
13,CRDA1201,RICER048,1,1,2012-06-13,13,3.2,12,12.9,14.5,29,0.46,32.2,23.9,27.9,29.2,20,27.9,29.2,306,393.6,0,0,NA,2012-06-13
14,CRDA1201,RICER048,1,1,2012-06-14,14,3.6,12,12.9,23.9,47.8,0.1,32.8,24,28.2,29.6,19,28.2,29.6,131,393.6,0,0,NA,2012-06-14
